rezdületlen,rezdületlenül,12,rezdül,/VERB|[NEG_PERF_PART]|<CAS<ESS>>
másik,másikul,1,másik,/NOUN|<CAS<ESS>>
lebeny,lebenyül,1,lebeny,/NOUN|<CAS<ESS>>
hizlalatlan,hizlalatlanul,1,hizlalatlan,/ADJ|<CAS<ESS>>
parancsolód,parancsolódul,2,parancsoló,/NOUN|<POSS<2>>|<CAS<ESS>>
parancsolód,parancsolódul,2,parancsoló,/ADJ|<POSS<2>>|<CAS<ESS>>
parancsoló,parancsolóul,3,parancsoló,/NOUN|<CAS<ESS>>
parancsoló,parancsolóul,3,parancsoló,/ADJ|<CAS<ESS>>
lemásolhatatlan,lemásolhatatlanul,1,másol,/VERB|<PREVERB<LE>>|[NEG_MODAL_PART]|<CAS<ESS>>
másolási,másolásiul,1,másol,/VERB|[GERUND]|[MET_ATTRIB]|<CAS<ESS>>
megmásolhatatlan,megmásolhatatlanul,4,másol,/VERB|<PREVERB<MEG>>|[NEG_MODAL_PART]|<CAS<ESS>>
második,másodikul,13,másod,/NOUN|[MET_ATTRIB]|<PLUR>|<CAS<ESS>>
árjái,árjáiul,1,árja,/NOUN|<PLUR><POSS>|<CAS<ESS>>
árjái,árjáiul,1,árja,/ADJ|<PLUR><POSS>|<CAS<ESS>>
szenvtelenebb,szenvtelenebbül,1,szenvtelen,/ADJ|[COMPAR]|<CAS<ESS>>
szenvtelen,szenvtelenül,10,szenvtelen,/ADJ|<CAS<ESS>>
másfél,másfélül,9,másfél,/NUM|<CAS<ESS>>
másfél,másfelül,11,másfél,/NUM|<CAS<ESS>>
óid,óidul,1,ó,/ADJ|<PLUR><POSS<2>>|<CAS<ESS>>
ója,ójául,1,ó,/ADJ|<POSS>|<CAS<ESS>>
ói,óiul,2,ó,/ADJ|<PLUR><POSS>|<CAS<ESS>>
óm,ómul,7,ó,/ADJ|<POSS<1>>|<CAS<ESS>>
ós,ósul,1,ó,/ADJ|[ATTRIB]|<CAS<ESS>>
ó,óul,5,ó,/ADJ|<CAS<ESS>>
