automatika,automatikává,1,automatika,/NOUN|<CAS<TRA>>
rokonítható,rokoníthatóvá,2,rokonít,/VERB|[MODAL_PART]|<CAS<TRA>>
rezdülések,rezdülésekké,1,rezdül,/VERB|[GERUND]|<PLUR>|<CAS<TRA>>
rezdülés,rezdüléssé,1,rezdül,/VERB|[GERUND]|<CAS<TRA>>
másika,másikává,2,másik,/NOUN|<POSS>|<CAS<TRA>>
másik,másikká,10,másik,/NOUN|<CAS<TRA>>
versenyló,versenylóvá,1,versenyló,/NOUN|<CAS<TRA>>
borsosabb,borsosabbá,1,borsos,/ADJ|[COMPAR]|<CAS<TRA>>
borsos,borsossá,1,borsos,/ADJ|<CAS<TRA>>
lebegőbb,lebegőbbé,1,lebegő,/ADJ|[COMPAR]|<CAS<TRA>>
lebegő,lebegővé,12,lebegő,/NOUN|<CAS<TRA>>
lebegő,lebegővé,12,lebegő,/ADJ|<CAS<TRA>>
lebenyes,lebenyessé,1,lebeny,/NOUN|[ATTRIB]|<CAS<TRA>>
lebenyek,lebenyekké,1,lebeny,/NOUN|<PLUR>|<CAS<TRA>>
dúsgazdagok,dúsgazdagokká,4,dúsgazdag,/ADJ|<PLUR>|<CAS<TRA>>
dúsgazdag,dúsgazdaggá,9,dúsgazdag,/ADJ|<CAS<TRA>>
revizor,revizorrá,1,revizor,/NOUN|<CAS<TRA>>
teljhatalmú,teljhatalmúvá,1,teljhatalmú,/ADJ|<CAS<TRA>>
komornyikja,komornyikává,2,komornyik,/NOUN|<POSS>|<CAS<TRA>>
komornyikja,komornyikjává,2,komornyik,/NOUN|<POSS>|<CAS<TRA>>
komornyikom,komornyikommá,1,komornyik,/NOUN|<POSS<1>>|<CAS<TRA>>
komornyik,komornyikká,3,komornyik,/NOUN|<CAS<TRA>>
készülődések,készülődésekké,1,készülődés,/NOUN|<PLUR>|<CAS<TRA>>
fenékhorog,fenékhoroggá,1,fenékhorog,/NOUN|<CAS<TRA>>
parancsolóbb,parancsolóbbá,2,parancsoló,/ADJ|[COMPAR]|<CAS<TRA>>
parancsolója,parancsolójává,4,parancsoló,/NOUN|<POSS>|<CAS<TRA>>
parancsolója,parancsolójává,4,parancsoló,/ADJ|<POSS>|<CAS<TRA>>
parancsolónk,parancsolónkká,3,parancsoló,/NOUN|<POSS<1><PLUR>>|<CAS<TRA>>
parancsolónk,parancsolónkká,3,parancsoló,/ADJ|<POSS<1><PLUR>>|<CAS<TRA>>
parancsolójuk,parancsolójukká,1,parancsoló,/NOUN|<POSS<PLUR>>|<CAS<TRA>>
parancsolójuk,parancsolójukká,1,parancsoló,/ADJ|<POSS<PLUR>>|<CAS<TRA>>
parancsoló,parancsolóvá,8,parancsoló,/NOUN|<CAS<TRA>>
parancsoló,parancsolóvá,8,parancsoló,/ADJ|<CAS<TRA>>
másolója,másolójává,1,másol,/VERB|[IMPERF_PART]|<POSS>|<CAS<TRA>>
másolása,másolásává,1,másol,/VERB|[GERUND]|<POSS>|<CAS<TRA>>
lemásolható,lemásolhatóvá,1,másol,/VERB|<PREVERB<LE>>|[MODAL_PART]|<CAS<TRA>>
átmásolható,átmásolhatóvá,1,másol,/VERB|<PREVERB<ÁT>>|[MODAL_PART]|<CAS<TRA>>
másolható,másolhatóvá,6,másol,/VERB|[MODAL_PART]|<CAS<TRA>>
másolás,másolássá,1,másol,/VERB|[GERUND]|<CAS<TRA>>
második,másodikká,3,másod,/NOUN|[MET_ATTRIB]|<PLUR>|<CAS<TRA>>
keményszívű,keményszívűvé,2,keményszívű,/ADJ|<CAS<TRA>>
építtetői,építtetőivé,1,építtet,/VERB|[IMPERF_PART]|<PLUR><POSS>|<CAS<TRA>>
árjai,árjaivá,1,árja,/NOUN|[MET_ATTRIB]|<CAS<TRA>>
árja,árjává,1,árja,/NOUN|<CAS<TRA>>
árja,árjává,1,árja,/ADJ|<CAS<TRA>>
bankigazgató,bankigazgatóvá,2,bankigazgató,/NOUN|<CAS<TRA>>
szenvtelen,szenvtelenné,4,szenvtelen,/ADJ|<CAS<TRA>>
másfélé,másfélévé,2,másfél,/NUM|<ANP>|<CAS<TRA>>
másfélszeres,másfélszeressé,1,másfél,/NUM|[MULTIPL_ATTRIB]|<CAS<TRA>>
gondterheltebb,gondterheltebbé,4,gondterhelt,/ADJ|[COMPAR]|<CAS<TRA>>
