kosztol,kosztolnátok,1,koszt,/NOUN|[ACT2]|<COND><PERS<2>><PLUR><DEF>
elárulhat,elárulhatnátok,2,árul,/VERB|<PREVERB<EL>>|<MODAL>|<COND><PERS<2>><PLUR><DEF>
elárul,elárulnátok,5,árul,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR><DEF>
árul,árulnátok,2,árul,/VERB|<COND><PERS<2>><PLUR><DEF>
filmez,filmeznétek,1,filmez,/VERB|<COND><PERS<2>><PLUR><DEF>
rálicitál,rálicitálnátok,1,rálicitál,/VERB|<COND><PERS<2>><PLUR><DEF>
csatlakozik,csatlakoznátok,2,csatlakozik,/VERB|<COND><PERS<2>><PLUR><DEF>
megörvendeztet,megörvendeztetnétek,1,örvendeztet,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR><DEF>
átkoz,átkoznátok,2,átok,/NOUN|[ACT]|<COND><PERS<2>><PLUR><DEF>
szorít,szorítanátok,2,szorít,/VERB|<COND><PERS<2>><PLUR><DEF>
megfojt,megfojtanátok,1,megfojt,/VERB|<COND><PERS<2>><PLUR><DEF>
kirabolhat,kirabolhatnátok,1,rabol,/VERB|<PREVERB<KI>>|<MODAL>|<COND><PERS<2>><PLUR><DEF>
elrabol,elrabolnátok,1,rabol,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR><DEF>
megfojt,megfojtanátok,1,fojt,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR><DEF>
visszaad,visszaadnátok,2,ad,/VERB|<PREVERB<VISSZA>>|<COND><PERS<2>><PLUR><DEF>
idead,ideadnátok,1,ad,/VERB|<PREVERB<IDE>>|<COND><PERS<2>><PLUR><DEF>
kiad,kiadnátok,2,ad,/VERB|<PREVERB<KI>>|<COND><PERS<2>><PLUR><DEF>
elad,eladnátok,1,ad,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR><DEF>
kölcsönad,kölcsönadnátok,1,ad,/VERB|<PREVERB<KÖLCSÖN>>|<COND><PERS<2>><PLUR><DEF>
adhat,adhatnátok,7,ad,/VERB|<MODAL>|<COND><PERS<2>><PLUR><DEF>
megad,megadnátok,4,ad,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR><DEF>
odaad,odaadnátok,1,ad,/VERB|<PREVERB<ODA>>|<COND><PERS<2>><PLUR><DEF>
ad,adnátok,9,ad,/VERB|<COND><PERS<2>><PLUR><DEF>
szétfoly,szétfolynátok,1,foly,/VERB|<PREVERB<SZÉT>>|<COND><PERS<2>><PLUR><DEF>
megfontol,megfontolnátok,1,font,/NOUN|<PREVERB<MEG>>|[ACT2]|<COND><PERS<2>><PLUR><DEF>
fáz,fáznátok,1,fa,/NOUN|[ACT]|<COND><PERS<2>><PLUR><DEF>
főz,főznétek,1,fő,/NOUN|[ACT]|<COND><PERS<2>><PLUR><DEF>
okoz,okoznátok,1,ok,/NOUN|[ACT]|<COND><PERS<2>><PLUR><DEF>
elbukik,elbuknátok,1,elbukik,/VERB|<COND><PERS<2>><PLUR><DEF>
megkövez,megköveznétek,1,kő,/NOUN|<PREVERB<MEG>>|[ACT]|<COND><PERS<2>><PLUR><DEF>
kilő,kilőnétek,1,lő,/VERB|<PREVERB<KI>>|<COND><PERS<2>><PLUR><DEF>
lő,lőnétek,3,lő,/VERB|<COND><PERS<2>><PLUR><DEF>
megun,megunnátok,3,un,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR><DEF>
elun,elunnátok,1,un,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR><DEF>
un,unnátok,1,un,/VERB|<COND><PERS<2>><PLUR><DEF>
megművel,megművelnétek,1,mű,/NOUN|<PREVERB<MEG>>|[ACT2]|<COND><PERS<2>><PLUR><DEF>
viselhet,viselhetnétek,1,vi,/NOUN|[MET_ATTRIB]|[ATTRIB]|[ACT2]|<MODAL>|<COND><PERS<2>><PLUR><DEF>
viseltet,viseltetnétek,1,vi,/NOUN|[MET_ATTRIB]|[ATTRIB]|[ACT2]|[CAUS]|<COND><PERS<2>><PLUR><DEF>
elvisel,elviselnétek,2,vi,/NOUN|<PREVERB<EL>>|[MET_ATTRIB]|[ATTRIB]|[ACT2]|<COND><PERS<2>><PLUR><DEF>
visel,viselnétek,2,vi,/NOUN|[MET_ATTRIB]|[ATTRIB]|[ACT2]|<COND><PERS<2>><PLUR><DEF>
ró,rónátok,1,ró,/VERB|<COND><PERS<2>><PLUR><DEF>
sóz,sóznátok,1,só,/NOUN|[ACT]|<COND><PERS<2>><PLUR><DEF>
tűz,tűznétek,1,tű,/NOUN|[ACT]|<COND><PERS<2>><PLUR><DEF>
papol,papolnátok,1,papol,/VERB|<COND><PERS<2>><PLUR><DEF>
okoz,okoznátok,1,okoz,/VERB|<COND><PERS<2>><PLUR><DEF>
eltáncol,eltáncolnátok,1,tánc,/NOUN|<PREVERB<EL>>|[ACT2]|<COND><PERS<2>><PLUR><DEF>
táncol,táncolnátok,2,tánc,/NOUN|[ACT2]|<COND><PERS<2>><PLUR><DEF>
elragad,elragadnátok,1,ragad,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR><DEF>
ragadtat,ragadtatnátok,1,ragad,/VERB|[CAUS]|<COND><PERS<2>><PLUR><DEF>
átír,átírnátok,1,átír,/VERB|<COND><PERS<2>><PLUR><DEF>
eltáncol,eltáncolnátok,1,eltáncol,/VERB|<COND><PERS<2>><PLUR><DEF>
elás,elásnátok,1,ás,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR><DEF>
ás,ásnátok,2,ás,/VERB|<COND><PERS<2>><PLUR><DEF>
feléget,felégetnétek,1,ég,/VERB|<PREVERB<FEL>>|[CAUS]|<COND><PERS<2>><PLUR><DEF>
elélhet,elélhetnétek,1,él,/VERB|<PREVERB<EL>>|<MODAL>|<COND><PERS<2>><PLUR><DEF>
túlél,túlélnétek,1,él,/VERB|<PREVERB<TÚL>>|<COND><PERS<2>><PLUR><DEF>
megél,megélnétek,1,él,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR><DEF>
kérd,kérdenétek,5,kérd,/VERB|<COND><PERS<2>><PLUR><DEF>
építhet,építhetnétek,2,ép,/ADJ|[TRANS_RESULT]|<MODAL>|<COND><PERS<2>><PLUR><DEF>
épít,építenétek,4,ép,/ADJ|[TRANS_RESULT]|<COND><PERS<2>><PLUR><DEF>
érezhet,érezhetnétek,2,ér,/NOUN|[ACT]|<MODAL>|<COND><PERS<2>><PLUR><DEF>
elérhet,elérhetnétek,2,ér,/VERB|<PREVERB<EL>>|<MODAL>|<COND><PERS<2>><PLUR><DEF>
erezik,ereznétek,3,ér,/NOUN|[ACT]|<COND><PERS<2>><PLUR><DEF>
utolér,utolérnétek,1,ér,/VERB|<PREVERB<UTOL>>|<COND><PERS<2>><PLUR><DEF>
elér,elérnétek,2,ér,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR><DEF>
felér,felérnétek,1,ér,/VERB|<PREVERB<FEL>>|<COND><PERS<2>><PLUR><DEF>
beér,beérnétek,1,ér,/VERB|<PREVERB<BE>>|<COND><PERS<2>><PLUR><DEF>
megér,megérnétek,1,ér,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR><DEF>
összeér,összeérnétek,1,ér,/VERB|<PREVERB<ÖSSZE>>|<COND><PERS<2>><PLUR><DEF>
odaér,odaérnétek,3,ér,/VERB|<PREVERB<ODA>>|<COND><PERS<2>><PLUR><DEF>
felkészít,felkészítenétek,1,kész,/ADJ|<PREVERB<FEL>>|[TRANS_RESULT]|<COND><PERS<2>><PLUR><DEF>
megír,megírnátok,1,ír,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR><DEF>
összeír,összeírnátok,1,ír,/VERB|<PREVERB<ÖSSZE>>|<COND><PERS<2>><PLUR><DEF>
átír,átírnátok,1,ír,/VERB|<PREVERB<ÁT>>|<COND><PERS<2>><PLUR><DEF>
írhat,írhatnátok,5,ír,/VERB|<MODAL>|<COND><PERS<2>><PLUR><DEF>
kiír,kiírnátok,1,ír,/VERB|<PREVERB<KI>>|<COND><PERS<2>><PLUR><DEF>
ír,írnátok,8,ír,/VERB|<COND><PERS<2>><PLUR><DEF>
összedolgozik,összedolgoznátok,1,dolgozik,/VERB|<PREVERB<ÖSSZE>>|<COND><PERS<2>><PLUR><DEF>
dolgoztat,dolgoztatnátok,1,dolgozik,/VERB|[CAUS]|<COND><PERS<2>><PLUR><DEF>
dolgozhatik,dolgozhatnátok,1,dolgozik,/VERB|<MODAL>|<COND><PERS<2>><PLUR><DEF>
dolgozik,dolgoznátok,3,dolgozik,/VERB|<COND><PERS<2>><PLUR><DEF>
óvhat,óvhatnátok,1,óv,/VERB|<MODAL>|<COND><PERS<2>><PLUR><DEF>
megölhet,megölhetnétek,1,öl,/VERB|<PREVERB<MEG>>|<MODAL>|<COND><PERS<2>><PLUR><DEF>
megöl,megölnétek,3,öl,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR><DEF>
kiöl,kiölnétek,1,öl,/VERB|<PREVERB<KI>>|<COND><PERS<2>><PLUR><DEF>
öl,ölnétek,2,öl,/VERB|<COND><PERS<2>><PLUR><DEF>
segíthet,segíthetnétek,7,segít,/VERB|<MODAL>|<COND><PERS<2>><PLUR><DEF>
segít,segítenétek,10,segít,/VERB|<COND><PERS<2>><PLUR><DEF>
utazhatik,utazhatnátok,1,út,/NOUN|[ACT]|<MODAL>|<COND><PERS<2>><PLUR><DEF>
utaz,utaznátok,5,út,/NOUN|[ACT]|<COND><PERS<2>><PLUR><DEF>
leülhet,leülhetnétek,1,ül,/VERB|<PREVERB<LE>>|<MODAL>|<COND><PERS<2>><PLUR><DEF>
megül,megülnétek,2,ül,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR><DEF>
visszaül,visszaülnétek,1,ül,/VERB|<PREVERB<VISSZA>>|<COND><PERS<2>><PLUR><DEF>
leül,leülnétek,1,ül,/VERB|<PREVERB<LE>>|<COND><PERS<2>><PLUR><DEF>
ülhet,ülhetnétek,3,ül,/VERB|<MODAL>|<COND><PERS<2>><PLUR><DEF>
felül,felülnétek,1,ül,/VERB|<PREVERB<FEL>>|<COND><PERS<2>><PLUR><DEF>
ül,ülnétek,6,ül,/VERB|<COND><PERS<2>><PLUR><DEF>
megüt,megütnétek,1,üt,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR><DEF>
üt,ütnétek,3,üt,/VERB|<COND><PERS<2>><PLUR><DEF>
prófétál,prófétálnátok,4,prófétál,/VERB|<COND><PERS<2>><PLUR><DEF>
felkészít,felkészítenétek,1,felkészít,/VERB|<COND><PERS<2>><PLUR><DEF>
eltökél,eltökélnétek,2,tökél,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR><DEF>
feltételez,feltételeznétek,3,feltételez,/VERB|<COND><PERS<2>><PLUR><DEF>
túlerőltet,túlerőltetnétek,1,túlerőltet,/VERB|<COND><PERS<2>><PLUR><DEF>
meglátogathat,meglátogathatnátok,2,meglátogat,/VERB|<MODAL>|<COND><PERS<2>><PLUR><DEF>
