kosztol,kosztolnátok,1,koszt,/NOUN|[ACT2]|<COND><PERS<2>><PLUR>
elárulhat,elárulhatnátok,2,árul,/VERB|<PREVERB<EL>>|<MODAL>|<COND><PERS<2>><PLUR>
elárul,elárulnátok,5,árul,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR>
árul,árulnátok,2,árul,/VERB|<COND><PERS<2>><PLUR>
buzog,buzognátok,1,buzog,/VERB|<COND><PERS<2>><PLUR>
filmez,filmeznétek,1,filmez,/VERB|<COND><PERS<2>><PLUR>
rálicitál,rálicitálnátok,1,rálicitál,/VERB|<COND><PERS<2>><PLUR>
szánkázik,szánkáznátok,2,szánkázik,/VERB|<COND><PERS<2>><PLUR>
felülkerekedhetik,felülkerekedhetnétek,1,kerekedik,/VERB|<PREVERB<FELÜL>>|<MODAL>|<COND><PERS<2>><PLUR>
kerekedik,kerekednétek,1,kerekedik,/VERB|<COND><PERS<2>><PLUR>
csatlakozik,csatlakoznátok,2,csatlakozik,/VERB|<COND><PERS<2>><PLUR>
meggyőződhetik,meggyőződhetnétek,2,meggyőződik,/VERB|<MODAL>|<COND><PERS<2>><PLUR>
házasodhat,házasodhatnátok,1,házasodik,/VERB|<MODAL>|<COND><PERS<2>><PLUR>
összeházasodik,összeházasodnátok,1,házasodik,/VERB|<PREVERB<ÖSSZE>>|<COND><PERS<2>><PLUR>
házasodhatik,házasodhatnátok,1,házasodik,/VERB|<MODAL>|<COND><PERS<2>><PLUR>
megörvendeztet,megörvendeztetnétek,1,örvendeztet,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR>
átkoz,átkoznátok,2,átok,/NOUN|[ACT]|<COND><PERS<2>><PLUR>
reménykedhet,reménykedhetnétek,1,remény,/NOUN|[REG_ACT]|<MODAL>|<COND><PERS<2>><PLUR>
szorít,szorítanátok,2,szorít,/VERB|<COND><PERS<2>><PLUR>
megfojt,megfojtanátok,1,megfojt,/VERB|<COND><PERS<2>><PLUR>
eltűnik,eltűnnétek,1,tűnik,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR>
kirabolhat,kirabolhatnátok,1,rabol,/VERB|<PREVERB<KI>>|<MODAL>|<COND><PERS<2>><PLUR>
elrabol,elrabolnátok,1,rabol,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR>
megfojt,megfojtanátok,1,fojt,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR>
visszaad,visszaadnátok,2,ad,/VERB|<PREVERB<VISSZA>>|<COND><PERS<2>><PLUR>
idead,ideadnátok,1,ad,/VERB|<PREVERB<IDE>>|<COND><PERS<2>><PLUR>
kiad,kiadnátok,2,ad,/VERB|<PREVERB<KI>>|<COND><PERS<2>><PLUR>
elad,eladnátok,1,ad,/VERB|<PREVERB<EL>>|<COND><PERS<2>><PLUR>
kölcsönad,kölcsönadnátok,1,ad,/VERB|<PREVERB<KÖLCSÖN>>|<COND><PERS<2>><PLUR>
adhat,adhatnátok,7,ad,/VERB|<MODAL>|<COND><PERS<2>><PLUR>
megad,megadnátok,4,ad,/VERB|<PREVERB<MEG>>|<COND><PERS<2>><PLUR>
odaad,odaadnátok,1,ad,/VERB|<PREVERB<ODA>>|<COND><PERS<2>><PLUR>
ad,adnátok,9,ad,/VERB|<COND><PERS<2>><PLUR>
szétfoly,szétfolynátok,1,foly,/VERB|<PREVERB<SZÉT>>|<COND><PERS<2>><PLUR>
megfontol,megfontolnátok,1,font,/NOUN|<PREVERB<MEG>>|[ACT2]|<COND><PERS<2>><PLUR>
fáz,fáznátok,1,fa,/NOUN|[ACT]|<COND><PERS<2>><PLUR>
főz,főznétek,1,fő,/NOUN|[ACT]|<COND><PERS<2>><PLUR>
okoz,okoznátok,1,ok,/NOUN|[ACT]|<COND><PERS<2>><PLUR>
