rokoníthat,rokoníthatja,2,rokonít,/VERB|<MODAL>|<DEF>
rokonít,rokonítja,13,rokonít,/VERB|<DEF>
borsoz,borsozza,2,borsoz,/VERB|<DEF>
elrekkent,elrekkenti,1,elrekkent,/VERB|<DEF>
bekiabál,bekiabálja,2,bekiabál,/VERB|<DEF>
lemásolhat,lemásolhatja,5,másol,/VERB|<PREVERB<LE>>|<MODAL>|<DEF>
lemásoltat,lemásoltatja,4,másol,/VERB|<PREVERB<LE>>|[CAUS]|<DEF>
másoltat,másoltatja,3,másol,/VERB|[CAUS]|<DEF>
felmásol,felmásolja,4,másol,/VERB|<PREVERB<FEL>>|<DEF>
bemásol,bemásolja,17,másol,/VERB|<PREVERB<BE>>|<DEF>
másolhat,másolhatja,10,másol,/VERB|<MODAL>|<DEF>
megmásol,megmásolja,4,másol,/VERB|<PREVERB<MEG>>|<DEF>
rámásol,rámásolja,2,másol,/VERB|<PREVERB<RÁ>>|<DEF>
átmásol,átmásolja,11,másol,/VERB|<PREVERB<ÁT>>|<DEF>
lemásol,lemásolja,10,másol,/VERB|<PREVERB<LE>>|<DEF>
kimásol,kimásolja,7,másol,/VERB|<PREVERB<KI>>|<DEF>
másol,másolja,12,másol,/VERB|<DEF>
maximalizál,maximalizálja,13,maximalizál,/VERB|<DEF>
lefülelhet,lefülelheti,1,lefülel,/VERB|<MODAL>|<DEF>
lefülel,lefüleli,9,lefülel,/VERB|<DEF>
építtettet,építtetteti,1,építtet,/VERB|[CAUS]|<DEF>
rektifikál,rektifikálja,4,rektifikál,/VERB|<DEF>
kosztol,kosztolja,5,koszt,/NOUN|[ACT2]|<DEF>
körülárkol,körülárkolja,1,árok,/NOUN|<PREVERB<KÖRÜL>>|[ACT2]|<DEF>
elárkol,elárkolja,1,árok,/NOUN|<PREVERB<EL>>|[ACT2]|<DEF>
árkol,árkolja,5,árok,/NOUN|[ACT2]|<DEF>
beárnyal,beárnyalja,1,árny,/NOUN|<PREVERB<BE>>|[ACT2]|<DEF>
beárnyaz,beárnyazza,2,árny,/NOUN|<PREVERB<BE>>|[ACT]|<DEF>
árnyal,árnyalja,13,árny,/NOUN|[ACT2]|<DEF>
árnyaz,árnyazza,3,árny,/NOUN|[ACT]|<DEF>
elkártyáz,elkártyázza,10,elkártyáz,/VERB|<DEF>
versenyeztet,versenyezteti,4,versenyez,/VERB|[CAUS]|<DEF>
versenyez,versenyzi,5,versenyez,/VERB|<DEF>
leforgat,leforgatja,1,leforog,/VERB|[CAUS]|<DEF>
utalványozhat,utalványozhatja,3,utalványoz,/VERB|<MODAL>|<DEF>
kiutalványoz,kiutalványozza,3,utalványoz,/VERB|<PREVERB<KI>>|<DEF>
utalványoz,utalványozza,8,utalványoz,/VERB|<DEF>
kitömörít,kitömöríti,3,tömörít,/VERB|<PREVERB<KI>>|<DEF>
tömöríthet,tömörítheti,3,tömörít,/VERB|<MODAL>|<DEF>
tömörít,tömöríti,11,tömörít,/VERB|<DEF>
megsemmisíthet,megsemmisítheti,11,megsemmisít,/VERB|<MODAL>|<DEF>
megsemmisít,megsemmisíti,12,megsemmisít,/VERB|<DEF>
tilol,tilolja,2,tilol,/VERB|<DEF>
felszánthat,felszánthatja,3,felszánt,/VERB|<MODAL>|<DEF>
felszánt,felszántja,11,felszánt,/VERB|<DEF>
elárulhat,elárulhatja,10,árul,/VERB|<PREVERB<EL>>|<MODAL>|<DEF>
beárulhat,beárulhatja,1,árul,/VERB|<PREVERB<BE>>|<MODAL>|<DEF>
árultat,árultatja,3,árul,/VERB|[CAUS]|<DEF>
árulhat,árulhatja,12,árul,/VERB|<MODAL>|<DEF>
elárul,elárulja,16,árul,/VERB|<PREVERB<EL>>|<DEF>
beárul,beárulja,9,árul,/VERB|<PREVERB<BE>>|<DEF>
kiárul,kiárulja,1,árul,/VERB|<PREVERB<KI>>|<DEF>
árul,árulja,12,árul,/VERB|<DEF>
leszüretel,leszüreteli,5,szüret,/NOUN|<PREVERB<LE>>|[ACT2]|<DEF>
szüretel,szüreteli,5,szüret,/NOUN|[ACT2]|<DEF>
odabök,odaböki,1,odabök,/VERB|<DEF>
árvázik,árvázza,1,árva,/NOUN|[ACT]|<DEF>
beakaszt,beakassza,2,beakaszt,/VERB|<DEF>
beakaszt,beakasztja,10,beakaszt,/VERB|<DEF>
eláztat,eláztatja,7,eláztat,/VERB|<DEF>
zabáltat,zabáltatja,3,zabáltat,/VERB|<DEF>
átéget,átégeti,1,átéget,/VERB|<DEF>
rábeszélhet,rábeszélheti,2,rábeszél,/VERB|<MODAL>|<DEF>
rábeszél,rábeszéli,11,rábeszél,/VERB|<DEF>
befedez,befedezi,8,befedez,/VERB|<DEF>
elönthet,elöntheti,9,elönt,/VERB|<MODAL>|<DEF>
elönt,elönti,12,elönt,/VERB|<DEF>
buzogtat,buzogtatja,4,buzog,/VERB|[CAUS]|<DEF>
odafog,odafogja,4,odafog,/VERB|<DEF>
kiásat,kiásatja,3,ásat,/VERB|<PREVERB<KI>>|<DEF>
megásat,megásatja,2,ásat,/VERB|<PREVERB<MEG>>|<DEF>
ásat,ásatja,8,ásat,/VERB|<DEF>
gardíroz,gardírozza,7,gardíroz,/VERB|<DEF>
megszentelhet,megszentelheti,2,megszentel,/VERB|<MODAL>|<DEF>
megszenteltet,megszentelteti,1,megszentel,/VERB|[CAUS]|<DEF>
megszentel,megszenteli,14,megszentel,/VERB|<DEF>
megokol,megokolja,13,megokol,/VERB|<DEF>
szótáraz,szótárazza,1,szótár,/NOUN|[ACT]|<DEF>
szótáraz,szótározza,4,szótár,/NOUN|[ACT]|<DEF>
összeverbuvál,összeverbuválja,2,verbuvál,/VERB|<PREVERB<ÖSSZE>>|<DEF>
verbuvál,verbuválja,5,verbuvál,/VERB|<DEF>
bebugyolál,bebugyolálja,8,bugyolál,/VERB|<PREVERB<BE>>|<DEF>
bugyolál,bugyolálja,5,bugyolál,/VERB|<DEF>
megbékéltet,megbékélteti,7,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|[CAUS]|<DEF>
kibékéltet,kibékélteti,1,béke,/NOUN|<PREVERB<KI>>|[ACT2]|[CAUS]|<DEF>
