lemásoltat,lemásoltatnom,1,másol,/VERB|<PREVERB<LE>>|[CAUS]|<INF><PERS<1>>
lemásolhat,lemásolhatnom,1,másol,/VERB|<PREVERB<LE>>|<MODAL>|<INF><PERS<1>>
lemásol,lemásolnom,6,másol,/VERB|<PREVERB<LE>>|<INF><PERS<1>>
bemásol,bemásolnom,1,másol,/VERB|<PREVERB<BE>>|<INF><PERS<1>>
másoltat,másoltatnom,1,másol,/VERB|[CAUS]|<INF><PERS<1>>
másol,másolnom,7,másol,/VERB|<INF><PERS<1>>
lefülel,lefülelnem,1,lefülel,/VERB|<INF><PERS<1>>
építtet,építtetnem,3,építtet,/VERB|<INF><PERS<1>>
rektifikál,rektifikálnom,2,rektifikál,/VERB|<INF><PERS<1>>
kosztol,kosztolnom,2,koszt,/NOUN|[ACT2]|<INF><PERS<1>>
beárnyal,beárnyalnom,1,árny,/NOUN|<PREVERB<BE>>|[ACT2]|<INF><PERS<1>>
árnyal,árnyalnom,1,árny,/NOUN|[ACT2]|<INF><PERS<1>>
versenyez,versenyeznem,1,versenyez,/VERB|<INF><PERS<1>>
megsemmisül,megsemmisülnöm,2,megsemmisül,/VERB|<INF><PERS<1>>
tömörít,tömörítenem,3,tömörít,/VERB|<INF><PERS<1>>
megsemmisít,megsemmisítenem,3,megsemmisít,/VERB|<INF><PERS<1>>
elárul,elárulnom,9,árul,/VERB|<PREVERB<EL>>|<INF><PERS<1>>
árul,árulnom,10,árul,/VERB|<INF><PERS<1>>
zabáltat,zabáltatnom,1,zabáltat,/VERB|<INF><PERS<1>>
rábeszél,rábeszélnem,10,rábeszél,/VERB|<INF><PERS<1>>
kibuzog,kibuzognom,1,buzog,/VERB|<PREVERB<KI>>|<INF><PERS<1>>
ásat,ásatnom,2,ásat,/VERB|<INF><PERS<1>>
megszenteltet,megszenteltetnem,1,megszentel,/VERB|[CAUS]|<INF><PERS<1>>
megokol,megokolnom,1,megokol,/VERB|<INF><PERS<1>>
szótáraz,szótáraznom,1,szótár,/NOUN|[ACT]|<INF><PERS<1>>
szótáraz,szótároznom,2,szótár,/NOUN|[ACT]|<INF><PERS<1>>
felszáll,felszállnom,4,felszáll,/VERB|<INF><PERS<1>>
odafut,odafutnom,1,odafut,/VERB|<INF><PERS<1>>
ellazul,ellazulnom,2,ellazul,/VERB|<INF><PERS<1>>
gyámkodik,gyámkodnom,1,gyámkodik,/VERB|<INF><PERS<1>>
bugyolál,bugyolálnom,1,bugyolál,/VERB|<INF><PERS<1>>
megbékél,megbékélnem,5,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|<INF><PERS<1>>
békél,békélnem,2,béke,/NOUN|[ACT2]|<INF><PERS<1>>
kortyol,kortyolnom,2,korty,/NOUN|[ACT2]|<INF><PERS<1>>
lefilmez,lefilmeznem,2,filmez,/VERB|<PREVERB<LE>>|<INF><PERS<1>>
filmez,filmeznem,1,filmez,/VERB|<INF><PERS<1>>
filmesít,filmesítenem,1,filmes,/ADJ|[TRANS_RESULT]|<INF><PERS<1>>
benyújt,benyújtanom,8,benyújt,/VERB|<INF><PERS<1>>
megtudakol,megtudakolnom,6,tudakol,/VERB|<PREVERB<MEG>>|<INF><PERS<1>>
tudakol,tudakolnom,7,tudakol,/VERB|<INF><PERS<1>>
áthajózik,áthajóznom,1,hajózik,/VERB|<PREVERB<ÁT>>|<INF><PERS<1>>
behajózik,behajóznom,1,hajózik,/VERB|<PREVERB<BE>>|<INF><PERS<1>>
hajózik,hajóznom,5,hajózik,/VERB|<INF><PERS<1>>
megleckéztet,megleckéztetnem,1,megleckéztet,/VERB|<INF><PERS<1>>
megtörik,megtörnöm,7,megtörik,/VERB|<INF><PERS<1>>
vértez,vérteznem,2,vértez,/VERB|<INF><PERS<1>>
fölülkerekedik,fölülkerekednem,2,kerekedik,/VERB|<PREVERB<FÖLÜL>>|<INF><PERS<1>>
felülkerekedik,felülkerekednem,1,kerekedik,/VERB|<PREVERB<FELÜL>>|<INF><PERS<1>>
kerekedik,kerekednem,7,kerekedik,/VERB|<INF><PERS<1>>
beiratkozik,beiratkoznom,4,beiratkozik,/VERB|<INF><PERS<1>>
dörren,dörrennem,1,dörren,/VERB|<INF><PERS<1>>
letakarít,letakarítanom,1,letakarít,/VERB|<INF><PERS<1>>
csatlakozik,csatlakoznom,8,csatlakozik,/VERB|<INF><PERS<1>>
odahat,odahatnom,1,odahat,/VERB|<INF><PERS<1>>
leközöl,leközölnöm,1,leközöl,/VERB|<INF><PERS<1>>
átad,átadnom,14,átad,/VERB|<INF><PERS<1>>
szarakodik,szarakodnom,1,szarakodik,/VERB|<INF><PERS<1>>
átszökdös,átszökdösnöm,1,szökdös,/VERB|<PREVERB<ÁT>>|<INF><PERS<1>>
szökdös,szökdösnöm,1,szökdös,/VERB|<INF><PERS<1>>
meggyőződhetik,meggyőződhetnem,1,meggyőződik,/VERB|<MODAL>|<INF><PERS<1>>
meggyőződik,meggyőződnöm,11,meggyőződik,/VERB|<INF><PERS<1>>
kipusztít,kipusztítanom,1,kipusztít,/VERB|<INF><PERS<1>>
megházasodik,megházasodnom,6,házasodik,/VERB|<PREVERB<MEG>>|<INF><PERS<1>>
házasodik,házasodnom,21,házasodik,/VERB|<INF><PERS<1>>
odaint,odaintenem,1,odaint,/VERB|<INF><PERS<1>>
elodáz,elodáznom,2,odáz,/VERB|<PREVERB<EL>>|<INF><PERS<1>>
felröpül,felröpülnöm,1,röpül,/VERB|<PREVERB<FEL>>|<INF><PERS<1>>
röpül,röpülnöm,2,röpül,/VERB|<INF><PERS<1>>
átkozódik,átkozódnom,2,átok,/NOUN|[ACT]|[MEDIAL]|<INF><PERS<1>>
elátkoz,elátkoznom,1,átok,/NOUN|<PREVERB<EL>>|[ACT]|<INF><PERS<1>>
átkoz,átkoznom,6,átok,/NOUN|[ACT]|<INF><PERS<1>>
dicsőít,dicsőítenem,2,dicsőít,/VERB|<INF><PERS<1>>
parádézik,parádéznom,1,parádézik,/VERB|<INF><PERS<1>>
elrejt,elrejtenem,7,elrejt,/VERB|<INF><PERS<1>>
összekeres,összekeresnem,3,összekeres,/VERB|<INF><PERS<1>>
reménykedhet,reménykedhetnem,1,remény,/NOUN|[REG_ACT]|<MODAL>|<INF><PERS<1>>
reménykedik,reménykednem,3,remény,/NOUN|[REG_ACT]|<INF><PERS<1>>
ráduplázik,rádupláznom,1,dupla,/NOUN|<PREVERB<RÁ>>|[ACT]|<INF><PERS<1>>
megdupláz,megdupláznom,1,dupla,/NOUN|<PREVERB<MEG>>|[ACT]|<INF><PERS<1>>
kiszorít,kiszorítanom,1,szorít,/VERB|<PREVERB<KI>>|<INF><PERS<1>>
rászorít,rászorítanom,1,szorít,/VERB|<PREVERB<RÁ>>|<INF><PERS<1>>
megszorít,megszorítanom,2,szorít,/VERB|<PREVERB<MEG>>|<INF><PERS<1>>
leszorít,leszorítanom,1,szorít,/VERB|<PREVERB<LE>>|<INF><PERS<1>>
összeszorít,összeszorítanom,1,szorít,/VERB|<PREVERB<ÖSSZE>>|<INF><PERS<1>>
beszorít,beszorítanom,1,szorít,/VERB|<PREVERB<BE>>|<INF><PERS<1>>
szorít,szorítanom,9,szorít,/VERB|<INF><PERS<1>>
megfojtat,megfojtatnom,1,megfojt,/VERB|[CAUS]|<INF><PERS<1>>
megfojt,megfojtanom,3,megfojt,/VERB|<INF><PERS<1>>
eltűnődik,eltűnődnöm,1,tűnik,/VERB|<PREVERB<EL>>|[MEDIAL]|<INF><PERS<1>>
tűnődik,tűnődnöm,9,tűnik,/VERB|[MEDIAL]|<INF><PERS<1>>
eltűnik,eltűnnöm,7,tűnik,/VERB|<PREVERB<EL>>|<INF><PERS<1>>
feltűnik,feltűnnöm,1,tűnik,/VERB|<PREVERB<FEL>>|<INF><PERS<1>>
tűnik,tűnnöm,10,tűnik,/VERB|<INF><PERS<1>>
lepecsétel,lepecsételnem,1,lepecsétel,/VERB|<INF><PERS<1>>
focizik,fociznom,2,foci,/NOUN|[ACT]|<INF><PERS<1>>
röpít,röpítenem,1,röpít,/VERB|<INF><PERS<1>>
rászámol,rászámolnom,1,rászámol,/VERB|<INF><PERS<1>>
