hajózik,hajóznotok,1,hajózik,/VERB|<INF><PERS<2>><PLUR>
csatlakozik,csatlakoznotok,1,csatlakozik,/VERB|<INF><PERS<2>><PLUR>
házasodik,házasodnotok,1,házasodik,/VERB|<INF><PERS<2>><PLUR>
átkozódik,átkozódnotok,2,átok,/NOUN|[ACT]|[MEDIAL]|<INF><PERS<2>><PLUR>
szorít,szorítanotok,2,szorít,/VERB|<INF><PERS<2>><PLUR>
eltűnik,eltűnnötök,2,tűnik,/VERB|<PREVERB<EL>>|<INF><PERS<2>><PLUR>
elrabol,elrabolnotok,1,rabol,/VERB|<PREVERB<EL>>|<INF><PERS<2>><PLUR>
rabol,rabolnotok,1,rabol,/VERB|<INF><PERS<2>><PLUR>
kiad,kiadnotok,2,ad,/VERB|<PREVERB<KI>>|<INF><PERS<2>><PLUR>
elad,eladnotok,2,ad,/VERB|<PREVERB<EL>>|<INF><PERS<2>><PLUR>
felad,feladnotok,2,ad,/VERB|<PREVERB<FEL>>|<INF><PERS<2>><PLUR>
továbbad,továbbadnotok,1,ad,/VERB|<PREVERB<TOVÁBB>>|<INF><PERS<2>><PLUR>
ad,adnotok,12,ad,/VERB|<INF><PERS<2>><PLUR>
fontol,fontolnotok,1,font,/NOUN|[ACT2]|<INF><PERS<2>><PLUR>
reggelizik,reggeliznetek,1,reggelizik,/VERB|<INF><PERS<2>><PLUR>
főz,főznötök,1,fő,/NOUN|[ACT]|<INF><PERS<2>><PLUR>
okoz,okoznotok,1,ok,/NOUN|[ACT]|<INF><PERS<2>><PLUR>
lő,lőnötök,1,lő,/VERB|<INF><PERS<2>><PLUR>
megnő,megnőnötök,1,nő,/VERB|<PREVERB<MEG>>|<INF><PERS<2>><PLUR>
nő,nőnötök,1,nő,/VERB|<INF><PERS<2>><PLUR>
művel,művelnetek,1,mű,/NOUN|[ACT2]|<INF><PERS<2>><PLUR>
elvisel,elviselnetek,3,vi,/NOUN|<PREVERB<EL>>|[MET_ATTRIB]|[ATTRIB]|[ACT2]|<INF><PERS<2>><PLUR>
visel,viselnetek,6,vi,/NOUN|[MET_ATTRIB]|[ATTRIB]|[ACT2]|<INF><PERS<2>><PLUR>
kelletik,kelletnetek,1,kelletik,/VERB|<INF><PERS<2>><PLUR>
segél,segélnetek,1,segél,/VERB|<INF><PERS<2>><PLUR>
megmotoz,megmotoznotok,1,megmotoz,/VERB|<INF><PERS<2>><PLUR>
rövidít,rövidítenetek,1,rövid,/ADJ|[TRANS_RESULT]|<INF><PERS<2>><PLUR>
okoz,okoznotok,1,okoz,/VERB|<INF><PERS<2>><PLUR>
megharcol,megharcolnotok,1,megharcol,/VERB|<INF><PERS<2>><PLUR>
kockáztat,kockáztatnotok,1,kockáztat,/VERB|<INF><PERS<2>><PLUR>
átél,átélnetek,2,átél,/VERB|<INF><PERS<2>><PLUR>
vigad,vigadnotok,3,vigad,/VERB|<INF><PERS<2>><PLUR>
felás,felásnotok,1,ás,/VERB|<PREVERB<FEL>>|<INF><PERS<2>><PLUR>
ás,ásnotok,1,ás,/VERB|<INF><PERS<2>><PLUR>
meghonosít,meghonosítanotok,1,honosít,/VERB|<PREVERB<MEG>>|<INF><PERS<2>><PLUR>
éhezik,éheznetek,1,éh,/NOUN|[ACT]|<INF><PERS<2>><PLUR>
átél,átélnetek,2,él,/VERB|<PREVERB<ÁT>>|<INF><PERS<2>><PLUR>
túlél,túlélnetek,1,él,/VERB|<PREVERB<TÚL>>|<INF><PERS<2>><PLUR>
megél,megélnetek,3,él,/VERB|<PREVERB<MEG>>|<INF><PERS<2>><PLUR>
él,élnetek,12,él,/VERB|<INF><PERS<2>><PLUR>
kérd,kérdenetek,2,kérd,/VERB|<INF><PERS<2>><PLUR>
felépít,felépítenetek,1,ép,/ADJ|<PREVERB<FEL>>|[TRANS_RESULT]|<INF><PERS<2>><PLUR>
épít,építenetek,4,ép,/ADJ|[TRANS_RESULT]|<INF><PERS<2>><PLUR>
megérezik,megéreznetek,1,ér,/NOUN|<PREVERB<MEG>>|[ACT]|<INF><PERS<2>><PLUR>
elér,elérnetek,3,ér,/VERB|<PREVERB<EL>>|<INF><PERS<2>><PLUR>
erezik,éreznetek,4,ér,/NOUN|[ACT]|<INF><PERS<2>><PLUR>
éret,éretnetek,1,ér,/VERB|[CAUS]|<INF><PERS<2>><PLUR>
visszaér,visszaérnetek,1,ér,/VERB|<PREVERB<VISSZA>>|<INF><PERS<2>><PLUR>
ér,érnetek,7,ér,/VERB|<INF><PERS<2>><PLUR>
szomjazik,szomjaznotok,1,szomjazik,/VERB|<INF><PERS<2>><PLUR>
elkészül,elkészülnötök,1,kész,/ADJ|<PREVERB<EL>>|[INTRANS_RESULT]|<INF><PERS<2>><PLUR>
készít,készítenetek,3,kész,/ADJ|[TRANS_RESULT]|<INF><PERS<2>><PLUR>
készül,készülnötök,5,kész,/ADJ|[INTRANS_RESULT]|<INF><PERS<2>><PLUR>
odaír,odaírnotok,1,ír,/VERB|<PREVERB<ODA>>|<INF><PERS<2>><PLUR>
ír,írnotok,2,ír,/VERB|<INF><PERS<2>><PLUR>
összedolgozik,összedolgoznotok,1,dolgozik,/VERB|<PREVERB<ÖSSZE>>|<INF><PERS<2>><PLUR>
dolgozik,dolgoznotok,6,dolgozik,/VERB|<INF><PERS<2>><PLUR>
megóv,megóvnotok,1,óv,/VERB|<PREVERB<MEG>>|<INF><PERS<2>><PLUR>
összegyülekezik,összegyülekeznetek,2,összegyülekezik,/VERB|<INF><PERS<2>><PLUR>
megöl,megölnötök,6,öl,/VERB|<PREVERB<MEG>>|<INF><PERS<2>><PLUR>
kiöl,kiölnötök,1,öl,/VERB|<PREVERB<KI>>|<INF><PERS<2>><PLUR>
öl,ölnötök,5,öl,/VERB|<INF><PERS<2>><PLUR>
újít,újítanotok,3,új,/ADJ|[TRANS_RESULT]|<INF><PERS<2>><PLUR>
