rokonít,rokonítani,8,rokonít,/VERB|<INF>
megrezdül,megrezdülni,2,rezdül,/VERB|<PREVERB<MEG>>|<INF>
rezdül,rezdülni,4,rezdül,/VERB|<INF>
borsoz,borsozni,1,borsoz,/VERB|<INF>
letekeredik,letekeredni,3,letekeredik,/VERB|<INF>
elrekkent,elrekkenteni,6,elrekkent,/VERB|<INF>
lepattan,lepattanni,4,lepattan,/VERB|<INF>
odasereglik,odaseregleni,2,odasereglik,/VERB|<INF>
bekiabál,bekiabálni,5,bekiabál,/VERB|<INF>
rámásolódik,rámásolódni,1,másol,/VERB|<PREVERB<RÁ>>|[MEDIAL]|<INF>
lemásoltat,lemásoltatni,7,másol,/VERB|<PREVERB<LE>>|[CAUS]|<INF>
másoltat,másoltatni,8,másol,/VERB|[CAUS]|<INF>
felmásol,felmásolni,3,másol,/VERB|<PREVERB<FEL>>|<INF>
másolódik,másolódni,2,másol,/VERB|[MEDIAL]|<INF>
bemásol,bemásolni,9,másol,/VERB|<PREVERB<BE>>|<INF>
másolhat,másolhatni,1,másol,/VERB|<MODAL>|<INF>
megmásol,megmásolni,3,másol,/VERB|<PREVERB<MEG>>|<INF>
rámásol,rámásolni,2,másol,/VERB|<PREVERB<RÁ>>|<INF>
átmásol,átmásolni,11,másol,/VERB|<PREVERB<ÁT>>|<INF>
lemásol,lemásolni,10,másol,/VERB|<PREVERB<LE>>|<INF>
kimásol,kimásolni,9,másol,/VERB|<PREVERB<KI>>|<INF>
másol,másolni,12,másol,/VERB|<INF>
maximalizál,maximalizálni,11,maximalizál,/VERB|<INF>
lefülel,lefülelni,10,lefülel,/VERB|<INF>
felépíttet,felépíttetni,8,építtet,/VERB|<PREVERB<FEL>>|<INF>
építtet,építtetni,11,építtet,/VERB|<INF>
tömörül,tömörülni,10,tömörül,/VERB|<INF>
áriázik,áriázni,2,ária,/NOUN|[ACT]|<INF>
rektifikál,rektifikálni,4,rektifikál,/VERB|<INF>
kosárlabdázik,kosárlabdázni,7,kosárlabdázik,/VERB|<INF>
kosztol,kosztolni,9,koszt,/NOUN|[ACT2]|<INF>
beárkol,beárkolni,1,árok,/NOUN|<PREVERB<BE>>|[ACT2]|<INF>
körülárkol,körülárkolni,3,árok,/NOUN|<PREVERB<KÖRÜL>>|[ACT2]|<INF>
kiárkol,kiárkolni,3,árok,/NOUN|<PREVERB<KI>>|[ACT2]|<INF>
árkol,árkolni,9,árok,/NOUN|[ACT2]|<INF>
árosít,árosítani,1,áros,/ADJ|[TRANS_RESULT]|<INF>
árnyal,árnyalni,10,árny,/NOUN|[ACT2]|<INF>
árnyaz,árnyazni,1,árny,/NOUN|[ACT]|<INF>
elkártyáz,elkártyázni,5,elkártyáz,/VERB|<INF>
kitüremkedik,kitüremkedni,1,kitüremkedik,/VERB|<INF>
versenyezhet,versenyezhetni,4,versenyez,/VERB|<MODAL>|<INF>
