lefülel,lefüleltelek,1,lefülel,/VERB|<PAST><PERS<1<OBJ<2>>>>
elkártyáz,elkártyáztalak,1,elkártyáz,/VERB|<PAST><PERS<1<OBJ<2>>>>
kiutalványoz,kiutalványoztalak,1,utalványoz,/VERB|<PREVERB<KI>>|<PAST><PERS<1<OBJ<2>>>>
utalványoz,utalványoztalak,1,utalványoz,/VERB|<PAST><PERS<1<OBJ<2>>>>
megsemmisítet,megsemmisítettelek,2,megsemmisít,/VERB|[CAUS]|<PAST><PERS<1<OBJ<2>>>>
megsemmisít,megsemmisítettelek,2,megsemmisít,/VERB|<PAST><PERS<1<OBJ<2>>>>
beárul,beárultalak,1,árul,/VERB|<PREVERB<BE>>|<PAST><PERS<1<OBJ<2>>>>
elárul,elárultalak,10,árul,/VERB|<PREVERB<EL>>|<PAST><PERS<1<OBJ<2>>>>
árul,árultalak,8,árul,/VERB|<PAST><PERS<1<OBJ<2>>>>
rábeszél,rábeszéltelek,3,rábeszél,/VERB|<PAST><PERS<1<OBJ<2>>>>
elönt,elöntöttelek,2,elönt,/VERB|<PAST><PERS<1<OBJ<2>>>>
megszentel,megszenteltelek,4,megszentel,/VERB|<PAST><PERS<1<OBJ<2>>>>
bebugyolál,bebugyoláltalak,2,bugyolál,/VERB|<PREVERB<BE>>|<PAST><PERS<1<OBJ<2>>>>
lefilmez,lefilmeztelek,1,filmez,/VERB|<PREVERB<LE>>|<PAST><PERS<1<OBJ<2>>>>
átad,átadtalak,6,átad,/VERB|<PAST><PERS<1<OBJ<2>>>>
megteremtet,megteremtettelek,5,teremtet,/VERB|<PREVERB<MEG>>|<PAST><PERS<1<OBJ<2>>>>
teremtet,teremtettelek,7,teremtet,/VERB|<PAST><PERS<1<OBJ<2>>>>
megkoszorúz,megkoszorúztalak,1,megkoszorúz,/VERB|<PAST><PERS<1<OBJ<2>>>>
kiátkoz,kiátkoztalak,1,átok,/NOUN|<PREVERB<KI>>|[ACT]|<PAST><PERS<1<OBJ<2>>>>
elátkoz,elátkoztalak,1,átok,/NOUN|<PREVERB<EL>>|[ACT]|<PAST><PERS<1<OBJ<2>>>>
megátkoz,megátkoztalak,5,átok,/NOUN|<PREVERB<MEG>>|[ACT]|<PAST><PERS<1<OBJ<2>>>>
átkoz,átkoztalak,4,átok,/NOUN|[ACT]|<PAST><PERS<1<OBJ<2>>>>
megdicsőít,megdicsőítettelek,2,dicsőít,/VERB|<PREVERB<MEG>>|<PAST><PERS<1<OBJ<2>>>>
dicsőít,dicsőítettelek,2,dicsőít,/VERB|<PAST><PERS<1<OBJ<2>>>>
ízlelget,ízlelgettelek,1,ízlelget,/VERB|<PAST><PERS<1<OBJ<2>>>>
elrejtet,elrejtettelek,2,elrejt,/VERB|[CAUS]|<PAST><PERS<1<OBJ<2>>>>
elrejt,elrejtettelek,2,elrejt,/VERB|<PAST><PERS<1<OBJ<2>>>>
beszorít,beszorítottalak,1,szorít,/VERB|<PREVERB<BE>>|<PAST><PERS<1<OBJ<2>>>>
agyonszorít,agyonszorítottalak,1,szorít,/VERB|<PREVERB<AGYON>>|<PAST><PERS<1<OBJ<2>>>>
szoríthat,szoríthattalak,1,szorít,/VERB|<MODAL>|<PAST><PERS<1<OBJ<2>>>>
szorít,szorítottalak,7,szorít,/VERB|<PAST><PERS<1<OBJ<2>>>>
megfojt,megfojtottalak,4,megfojt,/VERB|<PAST><PERS<1<OBJ<2>>>>
kirabol,kiraboltalak,1,rabol,/VERB|<PREVERB<KI>>|<PAST><PERS<1<OBJ<2>>>>
elrabol,elraboltalak,5,rabol,/VERB|<PREVERB<EL>>|<PAST><PERS<1<OBJ<2>>>>
rabol,raboltalak,1,rabol,/VERB|<PAST><PERS<1<OBJ<2>>>>
bekebelez,bekebeleztelek,1,kebelez,/VERB|<PREVERB<BE>>|<PAST><PERS<1<OBJ<2>>>>
megfojt,megfojtottalak,4,fojt,/VERB|<PREVERB<MEG>>|<PAST><PERS<1<OBJ<2>>>>
fojt,fojtottalak,2,fojt,/VERB|<PAST><PERS<1<OBJ<2>>>>
odaadhat,odaadhattalak,1,ad,/VERB|<PREVERB<ODA>>|<MODAL>|<PAST><PERS<1<OBJ<2>>>>
hozzáad,hozzáadtalak,1,ad,/VERB|<PREVERB<HOZZÁ>>|<PAST><PERS<1<OBJ<2>>>>
odaad,odaadtalak,2,ad,/VERB|<PREVERB<ODA>>|<PAST><PERS<1<OBJ<2>>>>
visszaad,visszaadtalak,1,ad,/VERB|<PREVERB<VISSZA>>|<PAST><PERS<1<OBJ<2>>>>
átad,átadtalak,6,ad,/VERB|<PREVERB<ÁT>>|<PAST><PERS<1<OBJ<2>>>>
lead,leadtalak,1,ad,/VERB|<PREVERB<LE>>|<PAST><PERS<1<OBJ<2>>>>
