megrezdül,megrezdültem,1,rezdül,/VERB|<PREVERB<MEG>>|<PAST><PERS<1>>
összerezdül,összerezdültem,1,rezdül,/VERB|<PREVERB<ÖSSZE>>|<PAST><PERS<1>>
rezdül,rezdültem,7,rezdül,/VERB|<PAST><PERS<1>>
megborsoz,megborsoztam,1,borsoz,/VERB|<PREVERB<MEG>>|<PAST><PERS<1>>
elrekkent,elrekkentettem,1,elrekkent,/VERB|<PAST><PERS<1>>
lepattan,lepattantam,3,lepattan,/VERB|<PAST><PERS<1>>
bekiabál,bekiabáltam,7,bekiabál,/VERB|<PAST><PERS<1>>
lemásoltat,lemásoltattam,7,másol,/VERB|<PREVERB<LE>>|[CAUS]|<PAST><PERS<1>>
lemásolhat,lemásolhattam,3,másol,/VERB|<PREVERB<LE>>|<MODAL>|<PAST><PERS<1>>
lemásol,lemásoltam,10,másol,/VERB|<PREVERB<LE>>|<PAST><PERS<1>>
kimásol,kimásoltam,8,másol,/VERB|<PREVERB<KI>>|<PAST><PERS<1>>
átmásol,átmásoltam,8,másol,/VERB|<PREVERB<ÁT>>|<PAST><PERS<1>>
bemásol,bemásoltam,7,másol,/VERB|<PREVERB<BE>>|<PAST><PERS<1>>
másoltat,másoltattam,4,másol,/VERB|[CAUS]|<PAST><PERS<1>>
másolhat,másolhattam,2,másol,/VERB|<MODAL>|<PAST><PERS<1>>
felmásol,felmásoltam,3,másol,/VERB|<PREVERB<FEL>>|<PAST><PERS<1>>
másol,másoltam,10,másol,/VERB|<PAST><PERS<1>>
lefülel,lefüleltem,4,lefülel,/VERB|<PAST><PERS<1>>
felépíttet,felépíttettem,2,építtet,/VERB|<PREVERB<FEL>>|<PAST><PERS<1>>
építtethet,építtethettem,1,építtet,/VERB|<MODAL>|<PAST><PERS<1>>
építtet,építtettem,15,építtet,/VERB|<PAST><PERS<1>>
tömörül,tömörültem,1,tömörül,/VERB|<PAST><PERS<1>>
áriázik,áriáztam,2,ária,/NOUN|[ACT]|<PAST><PERS<1>>
rektifikál,rektifikáltam,2,rektifikál,/VERB|<PAST><PERS<1>>
kosárlabdázik,kosárlabdáztam,3,kosárlabdázik,/VERB|<PAST><PERS<1>>
kosztolódik,kosztolódtam,1,koszt,/NOUN|[ACT2]|[MEDIAL]|<PAST><PERS<1>>
kosztol,kosztoltam,4,koszt,/NOUN|[ACT2]|<PAST><PERS<1>>
körülárkol,körülárkoltam,1,árok,/NOUN|<PREVERB<KÖRÜL>>|[ACT2]|<PAST><PERS<1>>
lepikkelyez,lepikkelyeztem,1,lepikkelyez,/VERB|<PAST><PERS<1>>
beárnyal,beárnyaltam,1,árny,/NOUN|<PREVERB<BE>>|[ACT2]|<PAST><PERS<1>>
árnyal,árnyaltam,2,árny,/NOUN|[ACT2]|<PAST><PERS<1>>
elkártyáz,elkártyáztam,8,elkártyáz,/VERB|<PAST><PERS<1>>
versenyeztet,versenyeztettem,1,versenyez,/VERB|[CAUS]|<PAST><PERS<1>>
versenyezhet,versenyezhettem,3,versenyez,/VERB|<MODAL>|<PAST><PERS<1>>
versenyez,versenyeztem,14,versenyez,/VERB|<PAST><PERS<1>>
leforgat,leforgattam,4,leforog,/VERB|[CAUS]|<PAST><PERS<1>>
megsemmisül,megsemmisültem,12,megsemmisül,/VERB|<PAST><PERS<1>>
kiutalványozhat,kiutalványozhattam,1,utalványoz,/VERB|<PREVERB<KI>>|<MODAL>|<PAST><PERS<1>>
utalványoz,utalványoztam,5,utalványoz,/VERB|<PAST><PERS<1>>
pletykázik,pletykáztam,2,pletykázik,/VERB|<PAST><PERS<1>>
tömörít,tömörítettem,7,tömörít,/VERB|<PAST><PERS<1>>
megsemmisítet,megsemmisítettem,11,megsemmisít,/VERB|[CAUS]|<PAST><PERS<1>>
megsemmisíthet,megsemmisíthettem,1,megsemmisít,/VERB|<MODAL>|<PAST><PERS<1>>
megsemmisít,megsemmisítettem,11,megsemmisít,/VERB|<PAST><PERS<1>>
tilol,tiloltam,1,tilol,/VERB|<PAST><PERS<1>>
felszánt,felszántottam,7,felszánt,/VERB|<PAST><PERS<1>>
elárulhat,elárulhattam,4,árul,/VERB|<PREVERB<EL>>|<MODAL>|<PAST><PERS<1>>
elárul,elárultam,14,árul,/VERB|<PREVERB<EL>>|<PAST><PERS<1>>
beárul,beárultam,3,árul,/VERB|<PREVERB<BE>>|<PAST><PERS<1>>
árultat,árultattam,3,árul,/VERB|[CAUS]|<PAST><PERS<1>>
árulhat,árulhattam,8,árul,/VERB|<MODAL>|<PAST><PERS<1>>
árul,árultam,11,árul,/VERB|<PAST><PERS<1>>
leszüretel,leszüreteltem,4,szüret,/NOUN|<PREVERB<LE>>|[ACT2]|<PAST><PERS<1>>
szüretel,szüreteltem,6,szüret,/NOUN|[ACT2]|<PAST><PERS<1>>
odabök,odaböktem,3,odabök,/VERB|<PAST><PERS<1>>
beakaszt,beakasztottam,6,beakaszt,/VERB|<PAST><PERS<1>>
eláztat,eláztattam,4,eláztat,/VERB|<PAST><PERS<1>>
rábeszéltet,rábeszéltettem,1,rábeszél,/VERB|[CAUS]|<PAST><PERS<1>>
rábeszélhet,rábeszélhettem,1,rábeszél,/VERB|<MODAL>|<PAST><PERS<1>>
rábeszél,rábeszéltem,11,rábeszél,/VERB|<PAST><PERS<1>>
elönt,elöntöttem,1,elönt,/VERB|<PAST><PERS<1>>
buzgódik,buzgódtam,1,buzog,/VERB|[MEDIAL]|<PAST><PERS<1>>
fölbuzog,fölbuzogtam,1,buzog,/VERB|<PREVERB<FÖL>>|<PAST><PERS<1>>
buzog,buzogtam,4,buzog,/VERB|<PAST><PERS<1>>
odafog,odafogtam,1,odafog,/VERB|<PAST><PERS<1>>
megásat,megásattam,3,ásat,/VERB|<PREVERB<MEG>>|<PAST><PERS<1>>
kiásat,kiásattam,3,ásat,/VERB|<PREVERB<KI>>|<PAST><PERS<1>>
ásat,ásattam,11,ásat,/VERB|<PAST><PERS<1>>
gardíroz,gardíroztam,2,gardíroz,/VERB|<PAST><PERS<1>>
megszentelődik,megszentelődtem,1,megszentel,/VERB|[MEDIAL]|<PAST><PERS<1>>
megszentel,megszenteltem,9,megszentel,/VERB|<PAST><PERS<1>>
megokol,megokoltam,7,megokol,/VERB|<PAST><PERS<1>>
szótáraz,szótáraztam,1,szótár,/NOUN|[ACT]|<PAST><PERS<1>>
szótáraz,szótároztam,1,szótár,/NOUN|[ACT]|<PAST><PERS<1>>
verbuvál,verbuváltam,5,verbuvál,/VERB|<PAST><PERS<1>>
felszáll,felszállottam,4,felszáll,/VERB|<PAST><PERS<1>>
felszáll,felszálltam,10,felszáll,/VERB|<PAST><PERS<1>>
ballagdál,ballagdáltam,1,ballagdál,/VERB|<PAST><PERS<1>>
ellazul,ellazultam,3,ellazul,/VERB|<PAST><PERS<1>>
nekirohan,nekirohantam,9,nekirohan,/VERB|<PAST><PERS<1>>
gyámkodik,gyámkodtam,1,gyámkodik,/VERB|<PAST><PERS<1>>
bebugyolál,bebugyoláltam,6,bugyolál,/VERB|<PREVERB<BE>>|<PAST><PERS<1>>
bugyolál,bugyoláltam,8,bugyolál,/VERB|<PAST><PERS<1>>
megbékéltet,megbékéltettem,2,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|[CAUS]|<PAST><PERS<1>>
megbékélhet,megbékélhettem,1,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|<MODAL>|<PAST><PERS<1>>
kibékéltet,kibékéltettem,1,béke,/NOUN|<PREVERB<KI>>|[ACT2]|[CAUS]|<PAST><PERS<1>>
békétlenkedik,békétlenkedtem,1,béke,/NOUN|[NEG_ATTRIB]|[REG_ACT]|<PAST><PERS<1>>
békélhet,békélhettem,2,béke,/NOUN|[ACT2]|<MODAL>|<PAST><PERS<1>>
megbékél,megbékéltem,9,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|<PAST><PERS<1>>
békél,békéltem,7,béke,/NOUN|[ACT2]|<PAST><PERS<1>>
legorombít,legorombítottam,3,gorombít,/VERB|<PREVERB<LE>>|<PAST><PERS<1>>
csintalankodik,csintalankodtam,1,csintalankodik,/VERB|<PAST><PERS<1>>
parancsnokol,parancsnokoltam,2,parancsnok,/NOUN|[ACT2]|<PAST><PERS<1>>
belekortyol,belekortyoltam,6,korty,/NOUN|<PREVERB<BELE>>|[ACT2]|<PAST><PERS<1>>
lekortyol,lekortyoltam,1,korty,/NOUN|<PREVERB<LE>>|[ACT2]|<PAST><PERS<1>>
kortyol,kortyoltam,10,korty,/NOUN|[ACT2]|<PAST><PERS<1>>
előbukkan,előbukkantam,3,előbukkan,/VERB|<PAST><PERS<1>>
odahoz,odahoztam,3,odahoz,/VERB|<PAST><PERS<1>>
elenyészik,elenyésztem,5,elenyészik,/VERB|<PAST><PERS<1>>
elijed,elijedtem,6,elijed,/VERB|<PAST><PERS<1>>
összeakaszkodik,összeakaszkodtam,3,összeakaszkodik,/VERB|<PAST><PERS<1>>
trónol,trónoltam,2,trónol,/VERB|<PAST><PERS<1>>
megzöldül,megzöldültem,1,megzöldül,/VERB|<PAST><PERS<1>>
letusol,letusoltam,5,letusol,/VERB|<PAST><PERS<1>>
tovarepül,tovarepültem,1,tovarepül,/VERB|<PAST><PERS<1>>
meglassít,meglassítottam,7,meglassít,/VERB|<PAST><PERS<1>>
kiherél,kiheréltem,1,kiherél,/VERB|<PAST><PERS<1>>
