elrekkent,elrekkentetted,1,elrekkent,/VERB|<PAST><PERS<2>><DEF>
lemásol,lemásoltad,1,másol,/VERB|<PREVERB<LE>>|<PAST><PERS<2>><DEF>
kimásol,kimásoltad,1,másol,/VERB|<PREVERB<KI>>|<PAST><PERS<2>><DEF>
bemásol,bemásoltad,1,másol,/VERB|<PREVERB<BE>>|<PAST><PERS<2>><DEF>
másoltat,másoltattad,1,másol,/VERB|[CAUS]|<PAST><PERS<2>><DEF>
másol,másoltad,5,másol,/VERB|<PAST><PERS<2>><DEF>
körülárkol,körülárkoltad,1,árok,/NOUN|<PREVERB<KÖRÜL>>|[ACT2]|<PAST><PERS<2>><DEF>
árkol,árkoltad,1,árok,/NOUN|[ACT2]|<PAST><PERS<2>><DEF>
elkártyáz,elkártyáztad,9,elkártyáz,/VERB|<PAST><PERS<2>><DEF>
tömörít,tömörítetted,1,tömörít,/VERB|<PAST><PERS<2>><DEF>
megsemmisítet,megsemmisítetted,9,megsemmisít,/VERB|[CAUS]|<PAST><PERS<2>><DEF>
megsemmisít,megsemmisítetted,9,megsemmisít,/VERB|<PAST><PERS<2>><DEF>
elárulhat,elárulhattad,1,árul,/VERB|<PREVERB<EL>>|<MODAL>|<PAST><PERS<2>><DEF>
elárul,elárultad,10,árul,/VERB|<PREVERB<EL>>|<PAST><PERS<2>><DEF>
kiárul,kiárultad,1,árul,/VERB|<PREVERB<KI>>|<PAST><PERS<2>><DEF>
árul,árultad,11,árul,/VERB|<PAST><PERS<2>><DEF>
szüretel,szüretelted,1,szüret,/NOUN|[ACT2]|<PAST><PERS<2>><DEF>
eláztat,eláztattad,4,eláztat,/VERB|<PAST><PERS<2>><DEF>
rábeszél,rábeszélted,4,rábeszél,/VERB|<PAST><PERS<2>><DEF>
befedez,befedezted,1,befedez,/VERB|<PAST><PERS<2>><DEF>
gardíroz,gardíroztad,1,gardíroz,/VERB|<PAST><PERS<2>><DEF>
megszentel,megszentelted,5,megszentel,/VERB|<PAST><PERS<2>><DEF>
békéltet,békéltetted,1,béke,/NOUN|[ACT2]|[CAUS]|<PAST><PERS<2>><DEF>
kortyol,kortyoltad,1,korty,/NOUN|[ACT2]|<PAST><PERS<2>><DEF>
elenyésztet,elenyésztetted,2,elenyészik,/VERB|[CAUS]|<PAST><PERS<2>><DEF>
benyújt,benyújtottad,1,benyújt,/VERB|<PAST><PERS<2>><DEF>
elfecseg,elfecsegted,1,elfecseg,/VERB|<PAST><PERS<2>><DEF>
elhirtelenkedik,elhirtelenkedted,1,elhirtelenkedik,/VERB|<PAST><PERS<2>><DEF>
megtudakol,megtudakoltad,1,tudakol,/VERB|<PREVERB<MEG>>|<PAST><PERS<2>><DEF>
tudakol,tudakoltad,2,tudakol,/VERB|<PAST><PERS<2>><DEF>
hessentet,hessentetted,1,hessentet,/VERB|<PAST><PERS<2>><DEF>
megleckéztet,megleckéztetted,2,megleckéztet,/VERB|<PAST><PERS<2>><DEF>
leközöl,leközölted,1,leközöl,/VERB|<PAST><PERS<2>><DEF>
megvilágosít,megvilágosítottad,4,megvilágosít,/VERB|<PAST><PERS<2>><DEF>
átad,átadtad,9,átad,/VERB|<PAST><PERS<2>><DEF>
megteremtet,megteremtetted,12,teremtet,/VERB|<PREVERB<MEG>>|<PAST><PERS<2>><DEF>
teremtet,teremtetted,40,teremtet,/VERB|<PAST><PERS<2>><DEF>
megkoszorúz,megkoszorúztad,1,megkoszorúz,/VERB|<PAST><PERS<2>><DEF>
pancsol,pancsoltad,1,pancsol,/VERB|<PAST><PERS<2>><DEF>
megörvendeztet,megörvendeztetted,3,örvendeztet,/VERB|<PREVERB<MEG>>|<PAST><PERS<2>><DEF>
elodáz,elodáztad,2,odáz,/VERB|<PREVERB<EL>>|<PAST><PERS<2>><DEF>
megátkoz,megátkoztad,3,átok,/NOUN|<PREVERB<MEG>>|[ACT]|<PAST><PERS<2>><DEF>
kiátkoz,kiátkoztad,1,átok,/NOUN|<PREVERB<KI>>|[ACT]|<PAST><PERS<2>><DEF>
elátkoz,elátkoztad,2,átok,/NOUN|<PREVERB<EL>>|[ACT]|<PAST><PERS<2>><DEF>
átkoz,átkoztad,4,átok,/NOUN|[ACT]|<PAST><PERS<2>><DEF>
megdicsőít,megdicsőítetted,1,dicsőít,/VERB|<PREVERB<MEG>>|<PAST><PERS<2>><DEF>
dicsőít,dicsőítetted,4,dicsőít,/VERB|<PAST><PERS<2>><DEF>
kevesell,kevesellted,2,kevesell,/VERB|<PAST><PERS<2>><DEF>
elrejtet,elrejtetted,11,elrejt,/VERB|[CAUS]|<PAST><PERS<2>><DEF>
elrejthet,elrejthetted,1,elrejt,/VERB|<MODAL>|<PAST><PERS<2>><DEF>
elrejt,elrejtetted,11,elrejt,/VERB|<PAST><PERS<2>><DEF>
megdupláz,megdupláztad,3,dupla,/NOUN|<PREVERB<MEG>>|[ACT]|<PAST><PERS<2>><DEF>
dupláz,dupláztad,1,dupla,/NOUN|[ACT]|<PAST><PERS<2>><DEF>
megszorít,megszorítottad,5,szorít,/VERB|<PREVERB<MEG>>|<PAST><PERS<2>><DEF>
leszorít,leszorítottad,1,szorít,/VERB|<PREVERB<LE>>|<PAST><PERS<2>><DEF>
beleszorít,beleszorítottad,1,szorít,/VERB|<PREVERB<BELE>>|<PAST><PERS<2>><DEF>
összeszorít,összeszorítottad,2,szorít,/VERB|<PREVERB<ÖSSZE>>|<PAST><PERS<2>><DEF>
szorít,szorítottad,10,szorít,/VERB|<PAST><PERS<2>><DEF>
