elrekkent,elrekkentettétek,1,elrekkent,/VERB|<PAST><PERS<2>><PLUR><DEF>
másol,másoltátok,1,másol,/VERB|<PAST><PERS<2>><PLUR><DEF>
megsemmisítet,megsemmisítettétek,1,megsemmisít,/VERB|[CAUS]|<PAST><PERS<2>><PLUR><DEF>
megsemmisít,megsemmisítettétek,1,megsemmisít,/VERB|<PAST><PERS<2>><PLUR><DEF>
elárul,elárultátok,7,árul,/VERB|<PREVERB<EL>>|<PAST><PERS<2>><PLUR><DEF>
árul,árultátok,5,árul,/VERB|<PAST><PERS<2>><PLUR><DEF>
átad,átadtátok,5,átad,/VERB|<PAST><PERS<2>><PLUR><DEF>
megteremtet,megteremtettétek,2,teremtet,/VERB|<PREVERB<MEG>>|<PAST><PERS<2>><PLUR><DEF>
teremtet,teremtettétek,7,teremtet,/VERB|<PAST><PERS<2>><PLUR><DEF>
kipusztít,kipusztítottátok,2,kipusztít,/VERB|<PAST><PERS<2>><PLUR><DEF>
elátkoz,elátkoztátok,1,átok,/NOUN|<PREVERB<EL>>|[ACT]|<PAST><PERS<2>><PLUR><DEF>
elrejtet,elrejtettétek,3,elrejt,/VERB|[CAUS]|<PAST><PERS<2>><PLUR><DEF>
elrejt,elrejtettétek,3,elrejt,/VERB|<PAST><PERS<2>><PLUR><DEF>
visszaszorít,visszaszorítottátok,1,szorít,/VERB|<PREVERB<VISSZA>>|<PAST><PERS<2>><PLUR><DEF>
leszorít,leszorítottátok,1,szorít,/VERB|<PREVERB<LE>>|<PAST><PERS<2>><PLUR><DEF>
szorít,szorítottátok,3,szorít,/VERB|<PAST><PERS<2>><PLUR><DEF>
megfojt,megfojtottátok,1,megfojt,/VERB|<PAST><PERS<2>><PLUR><DEF>
röpít,röpítettétek,1,röpít,/VERB|<PAST><PERS<2>><PLUR><DEF>
kirabol,kiraboltátok,1,rabol,/VERB|<PREVERB<KI>>|<PAST><PERS<2>><PLUR><DEF>
elrabol,elrablottátok,1,rabol,/VERB|<PREVERB<EL>>|<PAST><PERS<2>><PLUR><DEF>
elrabol,elraboltátok,7,rabol,/VERB|<PREVERB<EL>>|<PAST><PERS<2>><PLUR><DEF>
rabolhat,rabolhattátok,1,rabol,/VERB|<MODAL>|<PAST><PERS<2>><PLUR><DEF>
megrabol,megraboltátok,2,rabol,/VERB|<PREVERB<MEG>>|<PAST><PERS<2>><PLUR><DEF>
rabol,raboltátok,1,rabol,/VERB|<PAST><PERS<2>><PLUR><DEF>
megfojt,megfojtottátok,1,fojt,/VERB|<PREVERB<MEG>>|<PAST><PERS<2>><PLUR><DEF>
elfojt,elfojtottátok,1,fojt,/VERB|<PREVERB<EL>>|<PAST><PERS<2>><PLUR><DEF>
