lepikkelyez,lepikkelyezlek,1,lepikkelyez,/VERB|<PERS<1<OBJ<2>>>>
versenyezhet,versenyezhetlek,1,versenyez,/VERB|<MODAL>|<PERS<1<OBJ<2>>>>
megsemmisít,megsemmisítelek,2,megsemmisít,/VERB|<PERS<1<OBJ<2>>>>
beárulhat,beárulhatlak,1,árul,/VERB|<PREVERB<BE>>|<MODAL>|<PERS<1<OBJ<2>>>>
elárulhat,elárulhatlak,2,árul,/VERB|<PREVERB<EL>>|<MODAL>|<PERS<1<OBJ<2>>>>
elárul,elárullak,7,árul,/VERB|<PREVERB<EL>>|<PERS<1<OBJ<2>>>>
beárul,beárullak,5,árul,/VERB|<PREVERB<BE>>|<PERS<1<OBJ<2>>>>
árul,árullak,9,árul,/VERB|<PERS<1<OBJ<2>>>>
zabáltat,zabáltatlak,1,zabáltat,/VERB|<PERS<1<OBJ<2>>>>
rábeszél,rábeszéllek,3,rábeszél,/VERB|<PERS<1<OBJ<2>>>>
elönt,elöntelek,1,elönt,/VERB|<PERS<1<OBJ<2>>>>
ásat,ásatlak,2,ásat,/VERB|<PERS<1<OBJ<2>>>>
megszentel,megszentellek,4,megszentel,/VERB|<PERS<1<OBJ<2>>>>
megbékél,megbékéllek,6,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|<PERS<1<OBJ<2>>>>
békél,békéllek,3,béke,/NOUN|[ACT2]|<PERS<1<OBJ<2>>>>
hajózik,hajózlak,1,hajózik,/VERB|<PERS<1<OBJ<2>>>>
megleckéztet,megleckéztetlek,1,megleckéztet,/VERB|<PERS<1<OBJ<2>>>>
csatlakozik,csatlakozlak,1,csatlakozik,/VERB|<PERS<1<OBJ<2>>>>
átadat,átadatlak,1,átad,/VERB|[CAUS]|<PERS<1<OBJ<2>>>>
átad,átadlak,9,átad,/VERB|<PERS<1<OBJ<2>>>>
kormoz,kormozlak,1,korom,/NOUN|[ACT]|<PERS<1<OBJ<2>>>>
kipusztít,kipusztítalak,1,kipusztít,/VERB|<PERS<1<OBJ<2>>>>
megörvendeztet,megörvendeztetlek,4,örvendeztet,/VERB|<PREVERB<MEG>>|<PERS<1<OBJ<2>>>>
átkozhat,átkozhatlak,1,átok,/NOUN|[ACT]|<MODAL>|<PERS<1<OBJ<2>>>>
megátkoz,megátkozlak,16,átok,/NOUN|<PREVERB<MEG>>|[ACT]|<PERS<1<OBJ<2>>>>
kiátkoz,kiátkozlak,4,átok,/NOUN|<PREVERB<KI>>|[ACT]|<PERS<1<OBJ<2>>>>
átkoztat,átkoztatlak,1,átok,/NOUN|[ACT]|[CAUS]|<PERS<1<OBJ<2>>>>
elátkoz,elátkozlak,5,átok,/NOUN|<PREVERB<EL>>|[ACT]|<PERS<1<OBJ<2>>>>
átkoz,átkozlak,13,átok,/NOUN|[ACT]|<PERS<1<OBJ<2>>>>
dicsőíthet,dicsőíthetlek,1,dicsőít,/VERB|<MODAL>|<PERS<1<OBJ<2>>>>
megdicsőít,megdicsőítelek,1,dicsőít,/VERB|<PREVERB<MEG>>|<PERS<1<OBJ<2>>>>
dicsőít,dicsőítelek,1,dicsőít,/VERB|<PERS<1<OBJ<2>>>>
elrejthet,elrejthetlek,1,elrejt,/VERB|<MODAL>|<PERS<1<OBJ<2>>>>
elrejt,elrejtelek,5,elrejt,/VERB|<PERS<1<OBJ<2>>>>
drágáll,drágállak,1,drágáll,/VERB|<PERS<1<OBJ<2>>>>
megszorít,megszorítalak,2,szorít,/VERB|<PREVERB<MEG>>|<PERS<1<OBJ<2>>>>
szoríthat,szoríthatlak,7,szorít,/VERB|<MODAL>|<PERS<1<OBJ<2>>>>
szorít,szorítalak,7,szorít,/VERB|<PERS<1<OBJ<2>>>>
megfojtat,megfojtatlak,1,megfojt,/VERB|[CAUS]|<PERS<1<OBJ<2>>>>
megfojthat,megfojthatlak,2,megfojt,/VERB|<MODAL>|<PERS<1<OBJ<2>>>>
megfojt,megfojtalak,10,megfojt,/VERB|<PERS<1<OBJ<2>>>>
megbúbol,megbúbollak,1,megbúbol,/VERB|<PERS<1<OBJ<2>>>>
odaröpít,odaröpítelek,1,röpít,/VERB|<PREVERB<ODA>>|<PERS<1<OBJ<2>>>>
elröpít,elröpítelek,2,röpít,/VERB|<PREVERB<EL>>|<PERS<1<OBJ<2>>>>
kiröpít,kiröpítelek,1,röpít,/VERB|<PREVERB<KI>>|<PERS<1<OBJ<2>>>>
kirabolhat,kirabolhatlak,1,rabol,/VERB|<PREVERB<KI>>|<MODAL>|<PERS<1<OBJ<2>>>>
kirabol,kirabollak,1,rabol,/VERB|<PREVERB<KI>>|<PERS<1<OBJ<2>>>>
elrabol,elrabollak,1,rabol,/VERB|<PREVERB<EL>>|<PERS<1<OBJ<2>>>>
megrabol,megrabollak,2,rabol,/VERB|<PREVERB<MEG>>|<PERS<1<OBJ<2>>>>
rabol,rabollak,5,rabol,/VERB|<PERS<1<OBJ<2>>>>
bekebelez,bekebelezlek,1,kebelez,/VERB|<PREVERB<BE>>|<PERS<1<OBJ<2>>>>
megfojtat,megfojtatlak,1,fojt,/VERB|<PREVERB<MEG>>|[CAUS]|<PERS<1<OBJ<2>>>>
megfojthat,megfojthatlak,2,fojt,/VERB|<PREVERB<MEG>>|<MODAL>|<PERS<1<OBJ<2>>>>
belefojtat,belefojtatlak,1,fojt,/VERB|<PREVERB<BELE>>|[CAUS]|<PERS<1<OBJ<2>>>>
fojthat,fojthatlak,1,fojt,/VERB|<MODAL>|<PERS<1<OBJ<2>>>>
megfojt,megfojtalak,10,fojt,/VERB|<PREVERB<MEG>>|<PERS<1<OBJ<2>>>>
belefojt,belefojtalak,7,fojt,/VERB|<PREVERB<BELE>>|<PERS<1<OBJ<2>>>>
fojt,fojtalak,10,fojt,/VERB|<PERS<1<OBJ<2>>>>
lekaszaboltat,lekaszaboltatlak,1,kaszabol,/VERB|<PREVERB<LE>>|[CAUS]|<PERS<1<OBJ<2>>>>
összekaszabol,összekaszabollak,2,kaszabol,/VERB|<PREVERB<ÖSSZE>>|<PERS<1<OBJ<2>>>>
kaszabol,kaszabollak,1,kaszabol,/VERB|<PERS<1<OBJ<2>>>>
odaadhat,odaadhatlak,1,ad,/VERB|<PREVERB<ODA>>|<MODAL>|<PERS<1<OBJ<2>>>>
