borsoz,borsozzátok,1,borsoz,/VERB|<PERS<2>><PLUR><DEF>
lemásol,lemásoljátok,2,másol,/VERB|<PREVERB<LE>>|<PERS<2>><PLUR><DEF>
átmásol,átmásoljátok,1,másol,/VERB|<PREVERB<ÁT>>|<PERS<2>><PLUR><DEF>
kimásol,kimásoljátok,1,másol,/VERB|<PREVERB<KI>>|<PERS<2>><PLUR><DEF>
másol,másoljátok,4,másol,/VERB|<PERS<2>><PLUR><DEF>
megsemmisít,megsemmisítitek,2,megsemmisít,/VERB|<PERS<2>><PLUR><DEF>
tilol,tiloljátok,2,tilol,/VERB|<PERS<2>><PLUR><DEF>
elárulhat,elárulhatjátok,1,árul,/VERB|<PREVERB<EL>>|<MODAL>|<PERS<2>><PLUR><DEF>
elárul,eláruljátok,7,árul,/VERB|<PREVERB<EL>>|<PERS<2>><PLUR><DEF>
árul,áruljátok,11,árul,/VERB|<PERS<2>><PLUR><DEF>
szüretel,szüretelitek,1,szüret,/NOUN|[ACT2]|<PERS<2>><PLUR><DEF>
megszentel,megszentelitek,1,megszentel,/VERB|<PERS<2>><PLUR><DEF>
bebugyolál,bebugyoláljátok,1,bugyolál,/VERB|<PREVERB<BE>>|<PERS<2>><PLUR><DEF>
békéltet,békéltetitek,1,béke,/NOUN|[ACT2]|[CAUS]|<PERS<2>><PLUR><DEF>
tudakol,tudakoljátok,5,tudakol,/VERB|<PERS<2>><PLUR><DEF>
letakarít,letakarítjátok,1,letakarít,/VERB|<PERS<2>><PLUR><DEF>
átadhat,átadhatjátok,2,átad,/VERB|<MODAL>|<PERS<2>><PLUR><DEF>
átad,átadjátok,8,átad,/VERB|<PERS<2>><PLUR><DEF>
kipusztít,kipusztítjátok,3,kipusztít,/VERB|<PERS<2>><PLUR><DEF>
odáz,odázzátok,1,odáz,/VERB|<PERS<2>><PLUR><DEF>
megátkoz,megátkozzátok,1,átok,/NOUN|<PREVERB<MEG>>|[ACT]|<PERS<2>><PLUR><DEF>
átkoz,átkozzátok,6,átok,/NOUN|[ACT]|<PERS<2>><PLUR><DEF>
dicsőít,dicsőítitek,4,dicsőít,/VERB|<PERS<2>><PLUR><DEF>
elrejt,elrejtitek,4,elrejt,/VERB|<PERS<2>><PLUR><DEF>
átmásol,átmásoljátok,1,átmásol,/VERB|<PERS<2>><PLUR><DEF>
visszaszorít,visszaszorítjátok,1,szorít,/VERB|<PREVERB<VISSZA>>|<PERS<2>><PLUR><DEF>
leszorít,leszorítjátok,1,szorít,/VERB|<PREVERB<LE>>|<PERS<2>><PLUR><DEF>
kiszorít,kiszorítjátok,1,szorít,/VERB|<PREVERB<KI>>|<PERS<2>><PLUR><DEF>
szorít,szorítjátok,3,szorít,/VERB|<PERS<2>><PLUR><DEF>
megfojt,megfojtjátok,3,megfojt,/VERB|<PERS<2>><PLUR><DEF>
tintáz,tintázzátok,1,tinta,/NOUN|[ACT]|<PERS<2>><PLUR><DEF>
lepecsétel,lepecsételitek,1,lepecsétel,/VERB|<PERS<2>><PLUR><DEF>
kiröpít,kiröpítitek,1,röpít,/VERB|<PREVERB<KI>>|<PERS<2>><PLUR><DEF>
röpít,röpítitek,2,röpít,/VERB|<PERS<2>><PLUR><DEF>
megszívlel,megszívlelitek,2,megszívlel,/VERB|<PERS<2>><PLUR><DEF>
