letekeredik,letekeredtek,1,letekeredik,/VERB|<PERS<2>><PLUR>
lefülel,lefüleltek,7,lefülel,/VERB|<PERS<2>><PLUR>
felépíttet,felépíttettek,4,építtet,/VERB|<PREVERB<FEL>>|<PERS<2>><PLUR>
építtethet,építtethettek,3,építtet,/VERB|<MODAL>|<PERS<2>><PLUR>
építtet,építtettek,12,építtet,/VERB|<PERS<2>><PLUR>
tömörülhet,tömörülhettek,7,tömörül,/VERB|<MODAL>|<PERS<2>><PLUR>
tömörül,tömörültök,1,tömörül,/VERB|<PERS<2>><PLUR>
lepikkelyez,lepikkelyeztek,1,lepikkelyez,/VERB|<PERS<2>><PLUR>
kitüremkedik,kitüremkedtek,4,kitüremkedik,/VERB|<PERS<2>><PLUR>
versenyeztet,versenyeztettek,1,versenyez,/VERB|[CAUS]|<PERS<2>><PLUR>
versenyezhet,versenyezhettek,11,versenyez,/VERB|<MODAL>|<PERS<2>><PLUR>
versenyez,versenyeztek,11,versenyez,/VERB|<PERS<2>><PLUR>
leforgat,leforgattok,1,leforog,/VERB|[CAUS]|<PERS<2>><PLUR>
megsemmisülhet,megsemmisülhettek,1,megsemmisül,/VERB|<MODAL>|<PERS<2>><PLUR>
megsemmisül,megsemmisültök,1,megsemmisül,/VERB|<PERS<2>><PLUR>
pletykázhat,pletykázhattok,1,pletykázik,/VERB|<MODAL>|<PERS<2>><PLUR>
pletykázik,pletykáztok,1,pletykázik,/VERB|<PERS<2>><PLUR>
megsemmisítet,megsemmisítettek,10,megsemmisít,/VERB|[CAUS]|<PERS<2>><PLUR>
megsemmisíthet,megsemmisíthettek,2,megsemmisít,/VERB|<MODAL>|<PERS<2>><PLUR>
elárulhat,elárulhattok,1,árul,/VERB|<PREVERB<EL>>|<MODAL>|<PERS<2>><PLUR>
elárul,elárultok,5,árul,/VERB|<PREVERB<EL>>|<PERS<2>><PLUR>
árulhat,árulhattok,2,árul,/VERB|<MODAL>|<PERS<2>><PLUR>
árul,árultok,6,árul,/VERB|<PERS<2>><PLUR>
leszüretel,leszüreteltek,3,szüret,/NOUN|<PREVERB<LE>>|[ACT2]|<PERS<2>><PLUR>
beszüretel,beszüreteltek,1,szüret,/NOUN|<PREVERB<BE>>|[ACT2]|<PERS<2>><PLUR>
szüretel,szüreteltek,13,szüret,/NOUN|[ACT2]|<PERS<2>><PLUR>
átéget,átégettek,3,átéget,/VERB|<PERS<2>><PLUR>
rábeszél,rábeszéltek,11,rábeszél,/VERB|<PERS<2>><PLUR>
megszenteltet,megszenteltettek,12,megszentel,/VERB|[CAUS]|<PERS<2>><PLUR>
megszentel,megszenteltek,11,megszentel,/VERB|<PERS<2>><PLUR>
felszáll,felszálltok,5,felszáll,/VERB|<PERS<2>><PLUR>
megbékéltet,megbékéltettek,5,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|[CAUS]|<PERS<2>><PLUR>
békéltet,békéltettek,2,béke,/NOUN|[ACT2]|[CAUS]|<PERS<2>><PLUR>
összebékél,összebékéltek,6,béke,/NOUN|<PREVERB<ÖSSZE>>|[ACT2]|<PERS<2>><PLUR>
békétlenkedik,békétlenkedtek,4,béke,/NOUN|[NEG_ATTRIB]|[REG_ACT]|<PERS<2>><PLUR>
megbékél,megbékéltek,12,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|<PERS<2>><PLUR>
békél,békéltek,9,béke,/NOUN|[ACT2]|<PERS<2>><PLUR>
összeturkál,összeturkáltok,1,összeturkál,/VERB|<PERS<2>><PLUR>
kortyol,kortyoltok,1,korty,/NOUN|[ACT2]|<PERS<2>><PLUR>
elenyésztet,elenyésztettek,1,elenyészik,/VERB|[CAUS]|<PERS<2>><PLUR>
elenyészhet,elenyészhettek,1,elenyészik,/VERB|<MODAL>|<PERS<2>><PLUR>
elenyészik,elenyésztek,11,elenyészik,/VERB|<PERS<2>><PLUR>
elijed,elijedtek,4,elijed,/VERB|<PERS<2>><PLUR>
meggyökerezik,meggyökereztek,10,meggyökerezik,/VERB|<PERS<2>><PLUR>
kijelentkezik,kijelentkeztek,1,kijelentkezik,/VERB|<PERS<2>><PLUR>
filmez,filmeztek,9,filmez,/VERB|<PERS<2>><PLUR>
elfecseg,elfecsegtek,2,elfecseg,/VERB|<PERS<2>><PLUR>
tudakol,tudakoltok,1,tudakol,/VERB|<PERS<2>><PLUR>
behajózik,behajóztok,1,hajózik,/VERB|<PREVERB<BE>>|<PERS<2>><PLUR>
végighajózik,végighajóztok,1,hajózik,/VERB|<PREVERB<VÉGIG>>|<PERS<2>><PLUR>
kihajózik,kihajóztok,1,hajózik,/VERB|<PREVERB<KI>>|<PERS<2>><PLUR>
hajózik,hajóztok,5,hajózik,/VERB|<PERS<2>><PLUR>
megleckéztet,megleckéztettek,6,megleckéztet,/VERB|<PERS<2>><PLUR>
megtöret,megtörettek,5,megtörik,/VERB|[CAUS]|<PERS<2>><PLUR>
fölvértez,fölvérteztek,1,vértez,/VERB|<PREVERB<FÖL>>|<PERS<2>><PLUR>
felvértez,felvérteztek,3,vértez,/VERB|<PREVERB<FEL>>|<PERS<2>><PLUR>
vértez,vérteztek,3,vértez,/VERB|<PERS<2>><PLUR>
felülkerekedhetik,felülkerekedhettek,2,kerekedik,/VERB|<PREVERB<FELÜL>>|<MODAL>|<PERS<2>><PLUR>
felkerekedhet,felkerekedhettek,2,kerekedik,/VERB|<PREVERB<FEL>>|<MODAL>|<PERS<2>><PLUR>
fölkerekedik,fölkerekedtek,11,kerekedik,/VERB|<PREVERB<FÖL>>|<PERS<2>><PLUR>
kerekedhet,kerekedhettek,4,kerekedik,/VERB|<MODAL>|<PERS<2>><PLUR>
lekerekedik,lekerekedtek,3,kerekedik,/VERB|<PREVERB<LE>>|<PERS<2>><PLUR>
fölülkerekedik,fölülkerekedtek,5,kerekedik,/VERB|<PREVERB<FÖLÜL>>|<PERS<2>><PLUR>
előkerekedik,előkerekedtek,2,kerekedik,/VERB|<PREVERB<ELŐ>>|<PERS<2>><PLUR>
bekerekedik,bekerekedtek,1,kerekedik,/VERB|<PREVERB<BE>>|<PERS<2>><PLUR>
felkerekedik,felkerekedtek,16,kerekedik,/VERB|<PREVERB<FEL>>|<PERS<2>><PLUR>
nekikerekedik,nekikerekedtek,1,kerekedik,/VERB|<PREVERB<NEKI>>|<PERS<2>><PLUR>
kikerekedik,kikerekedtek,11,kerekedik,/VERB|<PREVERB<KI>>|<PERS<2>><PLUR>
felülkerekedik,felülkerekedtek,10,kerekedik,/VERB|<PREVERB<FELÜL>>|<PERS<2>><PLUR>
hazakerekedik,hazakerekedtek,2,kerekedik,/VERB|<PREVERB<HAZA>>|<PERS<2>><PLUR>
elkerekedik,elkerekedtek,15,kerekedik,/VERB|<PREVERB<EL>>|<PERS<2>><PLUR>
kerekedik,kerekedtek,11,kerekedik,/VERB|<PERS<2>><PLUR>
beiratkozik,beiratkoztok,2,beiratkozik,/VERB|<PERS<2>><PLUR>
dörrentet,dörrentettek,2,dörren,/VERB|[CAUS]|<PERS<2>><PLUR>
megdörren,megdörrentek,1,dörren,/VERB|<PREVERB<MEG>>|<PERS<2>><PLUR>
feldörren,feldörrentek,1,dörren,/VERB|<PREVERB<FEL>>|<PERS<2>><PLUR>
dörren,dörrentek,13,dörren,/VERB|<PERS<2>><PLUR>
kipusztul,kipusztultok,2,kipusztul,/VERB|<PERS<2>><PLUR>
csatlakozik,csatlakoztok,7,csatlakozik,/VERB|<PERS<2>><PLUR>
átad,átadtok,2,átad,/VERB|<PERS<2>><PLUR>
szarakodik,szarakodtok,1,szarakodik,/VERB|<PERS<2>><PLUR>
megteremtet,megteremtettek,10,teremtet,/VERB|<PREVERB<MEG>>|<PERS<2>><PLUR>
teremtet,teremtettek,13,teremtet,/VERB|<PERS<2>><PLUR>
megkoszorúz,megkoszorúztok,1,megkoszorúz,/VERB|<PERS<2>><PLUR>
pancsol,pancsoltok,1,pancsol,/VERB|<PERS<2>><PLUR>
meggyőződhetik,meggyőződhettek,10,meggyőződik,/VERB|<MODAL>|<PERS<2>><PLUR>
meggyőződik,meggyőződtök,4,meggyőződik,/VERB|<PERS<2>><PLUR>
összeházasodhat,összeházasodhattok,2,házasodik,/VERB|<PREVERB<ÖSSZE>>|<MODAL>|<PERS<2>><PLUR>
összeházasodik,összeházasodtok,8,házasodik,/VERB|<PREVERB<ÖSSZE>>|<PERS<2>><PLUR>
megházasodik,megházasodtok,2,házasodik,/VERB|<PREVERB<MEG>>|<PERS<2>><PLUR>
házasodik,házasodtok,4,házasodik,/VERB|<PERS<2>><PLUR>
megörvendeztet,megörvendeztettek,9,örvendeztet,/VERB|<PREVERB<MEG>>|<PERS<2>><PLUR>
örvendeztet,örvendeztettek,4,örvendeztet,/VERB|<PERS<2>><PLUR>
megfogyatkozik,megfogyatkoztok,1,fogyatkozik,/VERB|<PREVERB<MEG>>|<PERS<2>><PLUR>
elfogyatkozik,elfogyatkoztok,2,fogyatkozik,/VERB|<PREVERB<EL>>|<PERS<2>><PLUR>
prémez,prémeztek,1,prémez,/VERB|<PERS<2>><PLUR>
fölröpül,fölröpültök,1,röpül,/VERB|<PREVERB<FÖL>>|<PERS<2>><PLUR>
röpülhet,röpülhettek,2,röpül,/VERB|<MODAL>|<PERS<2>><PLUR>
röpül,röpültök,5,röpül,/VERB|<PERS<2>><PLUR>
megátkoz,megátkoztok,2,átok,/NOUN|<PREVERB<MEG>>|[ACT]|<PERS<2>><PLUR>
megszenesedik,megszenesedtek,4,megszenesedik,/VERB|<PERS<2>><PLUR>
trónol,trónoltok,1,trónol,/VERB|<PERS<2>><PLUR>
kiherél,kiheréltek,5,kiherél,/VERB|<PERS<2>><PLUR>
elporlad,elporladtok,2,elporlad,/VERB|<PERS<2>><PLUR>
bezabál,bezabáltok,1,bezabál,/VERB|<PERS<2>><PLUR>
eredeztet,eredeztettek,4,eredeztet,/VERB|<PERS<2>><PLUR>
odaken,odakentek,3,odaken,/VERB|<PERS<2>><PLUR>
eltenyészik,eltenyésztek,1,eltenyészik,/VERB|<PERS<2>><PLUR>
győzelmeskedik,győzelmeskedtek,1,győzelmeskedik,/VERB|<PERS<2>><PLUR>
tömet,tömettek,1,tömet,/VERB|<PERS<2>><PLUR>
átülhet,átülhettek,1,átül,/VERB|<MODAL>|<PERS<2>><PLUR>
átül,átültök,1,átül,/VERB|<PERS<2>><PLUR>
zsellérkedik,zsellérkedtek,1,zsellérkedik,/VERB|<PERS<2>><PLUR>
visszaverődik,visszaverődtök,1,visszaverődik,/VERB|<PERS<2>><PLUR>
tűret,tűrettek,2,tűret,/VERB|<PERS<2>><PLUR>
lecsúszhat,lecsúszhattok,1,lecsúszik,/VERB|<MODAL>|<PERS<2>><PLUR>
pásztorkodik,pásztorkodtok,2,pásztorkodik,/VERB|<PERS<2>><PLUR>
felsiet,felsiettek,8,felsiet,/VERB|<PERS<2>><PLUR>
őrizkedik,őrizkedtek,16,őrizkedik,/VERB|<PERS<2>><PLUR>
negédeskedik,negédeskedtek,1,negédeskedik,/VERB|<PERS<2>><PLUR>
beereszkedik,beereszkedtek,1,beereszkedik,/VERB|<PERS<2>><PLUR>
továbbterjed,továbbterjedtek,2,továbbterjed,/VERB|<PERS<2>><PLUR>
rémítget,rémítgettek,6,rémítget,/VERB|<PERS<2>><PLUR>
átemel,átemeltek,3,átemel,/VERB|<PERS<2>><PLUR>
koslat,koslattok,2,koslat,/VERB|<PERS<2>><PLUR>
elreppen,elreppentek,2,elreppen,/VERB|<PERS<2>><PLUR>
rááll,ráállotok,1,rááll,/VERB|<PERS<2>><PLUR>
rááll,ráálltok,2,rááll,/VERB|<PERS<2>><PLUR>
összekerülhet,összekerülhettek,3,összekerül,/VERB|<MODAL>|<PERS<2>><PLUR>
összekerül,összekerültök,1,összekerül,/VERB|<PERS<2>><PLUR>
eltévedez,eltévedeztek,2,eltévedez,/VERB|<PERS<2>><PLUR>
megvisel,megviseltek,9,megvisel,/VERB|<PERS<2>><PLUR>
kijelöltet,kijelöltettek,7,kijelöl,/VERB|[CAUS]|<PERS<2>><PLUR>
