lepattan,lepattansz,1,lepattan,/VERB|<PERS<2>>
lemásolhat,lemásolhatsz,1,másol,/VERB|<PREVERB<LE>>|<MODAL>|<PERS<2>>
bemásol,bemásolsz,2,másol,/VERB|<PREVERB<BE>>|<PERS<2>>
másolhat,másolhatsz,1,másol,/VERB|<MODAL>|<PERS<2>>
másol,másolsz,3,másol,/VERB|<PERS<2>>
építtethet,építtethetsz,2,építtet,/VERB|<MODAL>|<PERS<2>>
építtet,építtetsz,5,építtet,/VERB|<PERS<2>>
tömörül,tömörülsz,1,tömörül,/VERB|<PERS<2>>
kosztol,kosztolsz,2,koszt,/NOUN|[ACT2]|<PERS<2>>
árnyal,árnyalsz,1,árny,/NOUN|[ACT2]|<PERS<2>>
versenyezhet,versenyezhetsz,5,versenyez,/VERB|<MODAL>|<PERS<2>>
versenyez,versenyzel,3,versenyez,/VERB|<PERS<2>>
megsemmisül,megsemmisülsz,5,megsemmisül,/VERB|<PERS<2>>
pletykázik,pletykázol,1,pletykázik,/VERB|<PERS<2>>
kitömörít,kitömörítesz,1,tömörít,/VERB|<PREVERB<KI>>|<PERS<2>>
megsemmisíthet,megsemmisíthetsz,2,megsemmisít,/VERB|<MODAL>|<PERS<2>>
megsemmisít,megsemmisítesz,4,megsemmisít,/VERB|<PERS<2>>
beárulhat,beárulhatsz,1,árul,/VERB|<PREVERB<BE>>|<MODAL>|<PERS<2>>
árulhat,árulhatsz,2,árul,/VERB|<MODAL>|<PERS<2>>
elárul,elárulsz,10,árul,/VERB|<PREVERB<EL>>|<PERS<2>>
beárul,beárulsz,4,árul,/VERB|<PREVERB<BE>>|<PERS<2>>
árul,árulsz,11,árul,/VERB|<PERS<2>>
szüretelhet,szüretelhetsz,3,szüret,/NOUN|[ACT2]|<MODAL>|<PERS<2>>
szüretel,szüretelsz,2,szüret,/NOUN|[ACT2]|<PERS<2>>
odabök,odaböksz,1,odabök,/VERB|<PERS<2>>
eláztat,eláztatsz,1,eláztat,/VERB|<PERS<2>>
rábeszélhet,rábeszélhetsz,1,rábeszél,/VERB|<MODAL>|<PERS<2>>
rábeszél,rábeszélsz,3,rábeszél,/VERB|<PERS<2>>
elönt,elöntesz,1,elönt,/VERB|<PERS<2>>
áttűnik,áttűnsz,1,áttűnik,/VERB|<PERS<2>>
túlbuzog,túlbuzogsz,1,buzog,/VERB|<PREVERB<TÚL>>|<PERS<2>>
buzog,buzogsz,5,buzog,/VERB|<PERS<2>>
ásathat,ásathatsz,1,ásat,/VERB|<MODAL>|<PERS<2>>
ásat,ásatsz,1,ásat,/VERB|<PERS<2>>
megszentel,megszentelsz,3,megszentel,/VERB|<PERS<2>>
verbuvál,verbuválsz,1,verbuvál,/VERB|<PERS<2>>
felszállhat,felszállhatsz,4,felszáll,/VERB|<MODAL>|<PERS<2>>
felszáll,felszállasz,1,felszáll,/VERB|<PERS<2>>
felszáll,felszállsz,10,felszáll,/VERB|<PERS<2>>
odafut,odafutsz,1,odafut,/VERB|<PERS<2>>
ellazul,ellazulsz,1,ellazul,/VERB|<PERS<2>>
nekirohan,nekirohansz,2,nekirohan,/VERB|<PERS<2>>
visszatakarodik,visszatakarodsz,1,visszatakarodik,/VERB|<PERS<2>>
megbékéltet,megbékéltetsz,1,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|[CAUS]|<PERS<2>>
békétlenkedik,békétlenkedsz,2,béke,/NOUN|[NEG_ATTRIB]|[REG_ACT]|<PERS<2>>
megbékél,megbékélsz,4,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|<PERS<2>>
békél,békélsz,1,béke,/NOUN|[ACT2]|<PERS<2>>
parancsnokol,parancsnokolsz,1,parancsnok,/NOUN|[ACT2]|<PERS<2>>
belekortyol,belekortyolsz,1,korty,/NOUN|<PREVERB<BELE>>|[ACT2]|<PERS<2>>
kortyol,kortyolsz,5,korty,/NOUN|[ACT2]|<PERS<2>>
előbukkan,előbukkansz,2,előbukkan,/VERB|<PERS<2>>
elenyészik,elenyészel,12,elenyészik,/VERB|<PERS<2>>
kijelentkezik,kijelentkezel,1,kijelentkezik,/VERB|<PERS<2>>
filmez,filmezel,1,filmez,/VERB|<PERS<2>>
tudakol,tudakolsz,3,tudakol,/VERB|<PERS<2>>
eldörmög,eldörmögsz,1,dörmög,/VERB|<PREVERB<EL>>|<PERS<2>>
dörmög,dörmögsz,7,dörmög,/VERB|<PERS<2>>
korzózik,korzózol,1,korzó,/NOUN|[ACT]|<PERS<2>>
áthajózhat,áthajózhatsz,1,hajózik,/VERB|<PREVERB<ÁT>>|<MODAL>|<PERS<2>>
elhajózik,elhajózol,1,hajózik,/VERB|<PREVERB<EL>>|<PERS<2>>
behajózik,behajózol,1,hajózik,/VERB|<PREVERB<BE>>|<PERS<2>>
hajózhat,hajózhatsz,4,hajózik,/VERB|<MODAL>|<PERS<2>>
hajózik,hajózol,12,hajózik,/VERB|<PERS<2>>
megleckéztet,megleckéztetsz,3,megleckéztet,/VERB|<PERS<2>>
megtörhet,megtörhetsz,2,megtörik,/VERB|<MODAL>|<PERS<2>>
megtörik,megtörsz,4,megtörik,/VERB|<PERS<2>>
vértez,vértezel,4,vértez,/VERB|<PERS<2>>
felkerekedik,felkerekedsz,1,kerekedik,/VERB|<PREVERB<FEL>>|<PERS<2>>
fölkerekedik,fölkerekedsz,3,kerekedik,/VERB|<PREVERB<FÖL>>|<PERS<2>>
kerekedhet,kerekedhetsz,1,kerekedik,/VERB|<MODAL>|<PERS<2>>
kerekedik,kerekedsz,3,kerekedik,/VERB|<PERS<2>>
beiratkozhat,beiratkozhatsz,4,beiratkozik,/VERB|<MODAL>|<PERS<2>>
beiratkozik,beiratkozol,4,beiratkozik,/VERB|<PERS<2>>
kipusztul,kipusztulsz,3,kipusztul,/VERB|<PERS<2>>
krétáz,krétázol,1,krétáz,/VERB|<PERS<2>>
csatlakozhatik,csatlakozhatsz,4,csatlakozik,/VERB|<MODAL>|<PERS<2>>
csatlakozik,csatlakozol,11,csatlakozik,/VERB|<PERS<2>>
megvilágosíthat,megvilágosíthatsz,1,megvilágosít,/VERB|<MODAL>|<PERS<2>>
betyárkodik,betyárkodsz,2,betyárkodik,/VERB|<PERS<2>>
locsolkodik,locsolkodsz,2,locsolkodik,/VERB|<PERS<2>>
átadhat,átadhatsz,2,átad,/VERB|<MODAL>|<PERS<2>>
átad,átadsz,7,átad,/VERB|<PERS<2>>
szarakodik,szarakodsz,4,szarakodik,/VERB|<PERS<2>>
korosodik,korosodsz,1,koros,/ADJ|[INTRANS_RESULT]|<PERS<2>>
elfüstölög,elfüstölögsz,1,elfüstölög,/VERB|<PERS<2>>
pancsol,pancsolsz,1,pancsol,/VERB|<PERS<2>>
szökdös,szökdösöl,1,szökdös,/VERB|<PERS<2>>
meggyőződhetik,meggyőződhetsz,9,meggyőződik,/VERB|<MODAL>|<PERS<2>>
meggyőződik,meggyőződsz,6,meggyőződik,/VERB|<PERS<2>>
megházasodhatik,megházasodhatsz,1,házasodik,/VERB|<PREVERB<MEG>>|<MODAL>|<PERS<2>>
házasodhat,házasodhatsz,3,házasodik,/VERB|<MODAL>|<PERS<2>>
megházasodik,megházasodsz,6,házasodik,/VERB|<PREVERB<MEG>>|<PERS<2>>
házasodik,házasodsz,8,házasodik,/VERB|<PERS<2>>
megörvendeztethet,megörvendeztethetsz,1,örvendeztet,/VERB|<PREVERB<MEG>>|<MODAL>|<PERS<2>>
megörvendeztet,megörvendeztetsz,4,örvendeztet,/VERB|<PREVERB<MEG>>|<PERS<2>>
örvendeztet,örvendeztetsz,3,örvendeztet,/VERB|<PERS<2>>
megfogyatkozik,megfogyatkozol,1,fogyatkozik,/VERB|<PREVERB<MEG>>|<PERS<2>>
fogyatkozik,fogyatkozol,7,fogyatkozik,/VERB|<PERS<2>>
elhomályosul,elhomályosulsz,2,homályosul,/VERB|<PREVERB<EL>>|<PERS<2>>
