borsos,borsosék,6,borsos,/ADJ|<PLUR<FAM>>
elrekkentett,elrekkentették,2,elrekkent,/VERB|[PERF_PART]|<PLUR<FAM>>
adriani,adrianiék,2,adrian,/NOUN|[MET_ATTRIB]|<PLUR<FAM>>
másod,másodék,1,másod,/NOUN|<PLUR<FAM>>
lefülelt,lefülelték,10,lefülel,/VERB|[PERF_PART]|<PLUR<FAM>>
bankigazgató,bankigazgatóék,1,bankigazgató,/NOUN|<PLUR<FAM>>
másfél,másfélék,12,másfél,/NUM|<PLUR<FAM>>
ó,óék,1,ó,/ADJ|<PLUR<FAM>>
kosztos,kosztosék,1,koszt,/NOUN|[ATTRIB]|<PLUR<FAM>>
kosztka,kosztkáék,1,koszt,/NOUN|[DIMIN]|<PLUR<FAM>>
végigcsépelt,végigcsépelték,1,végigcsépel,/VERB|[PERF_PART]|<PLUR<FAM>>
árny,árnyék,20,árny,/NOUN|<PLUR<FAM>>
összetömörített,összetömörítették,2,tömörít,/VERB|<PREVERB<ÖSSZE>>|[PERF_PART]|<PLUR<FAM>>
tömörített,tömörítették,11,tömörít,/VERB|[PERF_PART]|<PLUR<FAM>>
megsemmisített,megsemmisítették,13,megsemmisít,/VERB|[PERF_PART]|<PLUR<FAM>>
megsemmisítvén,megsemmisítették,13,megsemmisít,/VERB|[PERF_PART]|<PLUR<FAM>>
leszüretelt,leszüretelték,9,szüret,/NOUN|<PREVERB<LE>>|[ACT2]|[PERF_PART]|<PLUR<FAM>>
szüretelvén,szüretelték,11,szüret,/NOUN|[ACT2]|[PERF_PART]|<PLUR<FAM>>
árva,árváék,1,árva,/ADJ|<PLUR<FAM>>
árva,árváék,1,árva,/NOUN|<PLUR<FAM>>
munkácsi,munkácsiék,5,munkács,/NOUN|[MET_ATTRIB]|<PLUR<FAM>>
rábeszélvén,rábeszélték,10,rábeszél,/VERB|[PERF_PART]|<PLUR<FAM>>
elöntvén,elöntötték,10,elönt,/VERB|[PERF_PART]|<PLUR<FAM>>
túlbuzgó,túlbuzgóék,1,buzog,/VERB|<PREVERB<TÚL>>|[IMPERF_PART]|<PLUR<FAM>>
megszentelt,megszentelték,10,megszentel,/VERB|[PERF_PART]|<PLUR<FAM>>
bécsi,bécsiék,1,bécs,/NOUN|[MET_ATTRIB]|<PLUR<FAM>>
bécii,béciék,1,béci,/NOUN|[MET_ATTRIB]|<PLUR<FAM>>
látszerész,látszerészék,1,látszerész,/NOUN|<PLUR<FAM>>
korhű,korhűék,1,korhű,/ADJ|<PLUR<FAM>>
szózat,szózaték,1,szózat,/NOUN|<PLUR<FAM>>
megbékélt,megbékélték,2,béke,/NOUN|<PREVERB<MEG>>|[ACT2]|[PERF_PART]|<PLUR<FAM>>
szülőim,szülőimék,5,szülői,/ADJ|<POSS<1>>|<PLUR<FAM>>
szotyola,szotyoláék,1,szotyola,/NOUN|<PLUR<FAM>>
parancsnok,parancsnokék,2,parancsnok,/NOUN|<PLUR<FAM>>
elenyésző,elenyészőék,1,elenyészik,/VERB|[IMPERF_PART]|<PLUR<FAM>>
márki,márkiék,9,márki,/NOUN|<PLUR<FAM>>
korsó,korsóék,4,korsó,/NOUN|<PLUR<FAM>>
megfilmesített,megfilmesítették,4,filmes,/ADJ|<PREVERB<MEG>>|[TRANS_RESULT]|[PERF_PART]|<PLUR<FAM>>
filmesített,filmesítették,5,filmes,/ADJ|[TRANS_RESULT]|[PERF_PART]|<PLUR<FAM>>
