borjúszelet,borjúszeletünk,1,borjúszelet,/NOUN|<POSS<1><PLUR>>
automatika,automatikánk,1,automatika,/NOUN|<POSS<1><PLUR>>
rezdülés,rezdülésünk,2,rezdül,/VERB|[GERUND]|<POSS<1><PLUR>>
rezdült,rezdültünk,1,rezdül,/VERB|[PERF_PART]|<POSS<1><PLUR>>
másik,másikunk,10,másik,/NOUN|<POSS<1><PLUR>>
versenyló,versenylovunk,1,versenyló,/NOUN|<POSS<1><PLUR>>
családtervezés,családtervezésünk,1,családtervezés,/NOUN|<POSS<1><PLUR>>
komornyik,komornyikunk,4,komornyik,/NOUN|<POSS<1><PLUR>>
odasereglett,odasereglettünk,2,odasereglik,/VERB|[PERF_PART]|<POSS<1><PLUR>>
bekiabált,bekiabáltunk,2,bekiabál,/VERB|[PERF_PART]|<POSS<1><PLUR>>
készülődés,készülődésünk,4,készülődés,/NOUN|<POSS<1><PLUR>>
parancsolói,parancsolóink,2,parancsoló,/NOUN|[MET_ATTRIB]|<POSS<1><PLUR>>
parancsoló,parancsolónk,12,parancsoló,/NOUN|<POSS<1><PLUR>>
parancsoló,parancsolónk,12,parancsoló,/ADJ|<POSS<1><PLUR>>
kimásolt,kimásoltunk,1,másol,/VERB|<PREVERB<KI>>|[PERF_PART]|<POSS<1><PLUR>>
lemásolván,lemásoltunk,3,másol,/VERB|<PREVERB<LE>>|[PERF_PART]|<POSS<1><PLUR>>
másoló,másolónk,2,másol,/VERB|[IMPERF_PART]|<POSS<1><PLUR>>
másolván,másoltunk,5,másol,/VERB|[PERF_PART]|<POSS<1><PLUR>>
keresztvíz,keresztvizünk,1,keresztvíz,/NOUN|<POSS<1><PLUR>>
keményszívűség,keményszívűségünk,1,keményszívű,/ADJ|[ABSTRACT]|<POSS<1><PLUR>>
egybekelés,egybekelésünk,8,egybekelés,/NOUN|<POSS<1><PLUR>>
páciens,páciensünk,8,páciens,/NOUN|<POSS<1><PLUR>>
kultúrélet,kultúréletünk,3,kultúrélet,/NOUN|<POSS<1><PLUR>>
összetömörült,összetömörültünk,1,tömörül,/VERB|<PREVERB<ÖSSZE>>|[PERF_PART]|<POSS<1><PLUR>>
odatömörült,odatömörültünk,1,tömörül,/VERB|<PREVERB<ODA>>|[PERF_PART]|<POSS<1><PLUR>>
tömörülés,tömörülésünk,1,tömörül,/VERB|[GERUND]|<POSS<1><PLUR>>
tömörülvén,tömörültünk,4,tömörül,/VERB|[PERF_PART]|<POSS<1><PLUR>>
összetömörülvén,összetömörültünk,1,tömörül,/VERB|<PREVERB<ÖSSZE>>|[PERF_PART]|<POSS<1><PLUR>>
merénylet,merényletünk,1,merénylet,/NOUN|<POSS<1><PLUR>>
gáztűzhely,gáztűzhelyünk,1,gáztűzhely,/NOUN|<POSS<1><PLUR>>
ó,ónk,12,ó,/ADJ|<POSS<1><PLUR>>
árpácska,árpácskánk,1,árpa,/NOUN|[DIMIN]|<POSS<1><PLUR>>
árpa,árpánk,2,árpa,/NOUN|<POSS<1><PLUR>>
kosztolt,kosztoltunk,8,koszt,/NOUN|[ACT2]|[PERF_PART]|<POSS<1><PLUR>>
kosztú,kosztúnk,1,koszt,/NOUN|[INAL_ATTRIB]|<POSS<1><PLUR>>
koszt,kosztunk,13,koszt,/NOUN|<POSS<1><PLUR>>
árkolván,árkoltunk,1,árok,/NOUN|[ACT2]|[PERF_PART]|<POSS<1><PLUR>>
árok,árkunk,7,árok,/NOUN|<POSS<1><PLUR>>
áros,árosunk,2,áros,/ADJ|<POSS<1><PLUR>>
életöröm,életörömünk,2,életöröm,/NOUN|<POSS<1><PLUR>>
csavart,csavartunk,4,csavart,/ADJ|<POSS<1><PLUR>>
munkált,munkáltunk,3,munkált,/ADJ|<POSS<1><PLUR>>
árny,árnyunk,11,árny,/NOUN|<POSS<1><PLUR>>
enyelgés,enyelgésünk,2,enyelgés,/NOUN|<POSS<1><PLUR>>
közbiztonság,közbiztonságunk,4,közbiztonság,/NOUN|<POSS<1><PLUR>>
nemzetségfői,nemzetségfőink,1,nemzetségfő,/NOUN|[MET_ATTRIB]|<POSS<1><PLUR>>
buzaii,buzaink,1,buzai,/NOUN|[MET_ATTRIB]|<POSS<1><PLUR>>
másodtitkár,másodtitkárunk,2,másodtitkár,/NOUN|<POSS<1><PLUR>>
olvasottság,olvasottságunk,7,olvasott,/ADJ|[ABSTRACT]|<POSS<1><PLUR>>
házirend,házirendünk,2,házirend,/NOUN|<POSS<1><PLUR>>
porcika,porcikánk,8,porcika,/NOUN|<POSS<1><PLUR>>
hajszolás,hajszolásunk,1,hajszolás,/NOUN|<POSS<1><PLUR>>
versenyzés,versenyzésünk,1,versenyez,/VERB|[GERUND]|<POSS<1><PLUR>>
zsinagóga,zsinagógánk,2,zsinagóga,/NOUN|<POSS<1><PLUR>>
gléda,glédánk,1,gléda,/NOUN|<POSS<1><PLUR>>
megsemmisült,megsemmisültünk,3,megsemmisül,/VERB|[PERF_PART]|<POSS<1><PLUR>>
megmásulás,megmásulásunk,1,másul,/VERB|<PREVERB<MEG>>|[GERUND]|<POSS<1><PLUR>>
másult,másultunk,2,másul,/VERB|[PERF_PART]|<POSS<1><PLUR>>
életcél,életcélunk,7,életcél,/NOUN|<POSS<1><PLUR>>
készségesség,készségességünk,1,készséges,/ADJ|[ABSTRACT]|<POSS<1><PLUR>>
közelség,közelségünk,5,közelség,/NOUN|<POSS<1><PLUR>>
parasztlázadás,parasztlázadásunk,1,parasztlázadás,/NOUN|<POSS<1><PLUR>>
tömörített,tömörítettünk,1,tömörít,/VERB|[PERF_PART]|<POSS<1><PLUR>>
megsemmisített,megsemmisítettünk,6,megsemmisít,/VERB|[PERF_PART]|<POSS<1><PLUR>>
