megrezdül,megrezdüljön,1,rezdül,/VERB|<PREVERB<MEG>>|<SUBJUNC-IMP>
rezdül,rezdüljön,4,rezdül,/VERB|<SUBJUNC-IMP>
lepattan,lepattanjon,3,lepattan,/VERB|<SUBJUNC-IMP>
bekiabál,bekiabáljon,2,bekiabál,/VERB|<SUBJUNC-IMP>
átmásolódik,átmásolódjon,1,másol,/VERB|<PREVERB<ÁT>>|[MEDIAL]|<SUBJUNC-IMP>
lemásol,lemásoljon,2,másol,/VERB|<PREVERB<LE>>|<SUBJUNC-IMP>
kimásol,kimásoljon,1,másol,/VERB|<PREVERB<KI>>|<SUBJUNC-IMP>
másoltat,másoltassék,1,másol,/VERB|[CAUS]|<SUBJUNC-IMP>
másoltat,másoltasson,5,másol,/VERB|[CAUS]|<SUBJUNC-IMP>
másolhat,másolhasson,1,másol,/VERB|<MODAL>|<SUBJUNC-IMP>
másol,másoljon,8,másol,/VERB|<SUBJUNC-IMP>
lefülelhet,lefülelhessék,1,lefülel,/VERB|<MODAL>|<SUBJUNC-IMP>
lefülel,lefüleljen,1,lefülel,/VERB|<SUBJUNC-IMP>
lefülel,lefüleljék,1,lefülel,/VERB|<SUBJUNC-IMP>
felépíttet,felépíttessen,1,építtet,/VERB|<PREVERB<FEL>>|<SUBJUNC-IMP>
felépíttet,felépíttessék,4,építtet,/VERB|<PREVERB<FEL>>|<SUBJUNC-IMP>
építtethet,építtethessen,6,építtet,/VERB|<MODAL>|<SUBJUNC-IMP>
építtet,építtessék,12,építtet,/VERB|<SUBJUNC-IMP>
építtet,építtessen,10,építtet,/VERB|<SUBJUNC-IMP>
tömörülhet,tömörülhessen,3,tömörül,/VERB|<MODAL>|<SUBJUNC-IMP>
tömörül,tömörüljön,8,tömörül,/VERB|<SUBJUNC-IMP>
áriázik,áriázzon,1,ária,/NOUN|[ACT]|<SUBJUNC-IMP>
kosztol,kosztoljon,2,koszt,/NOUN|[ACT2]|<SUBJUNC-IMP>
árnyalódik,árnyalódjék,1,árny,/NOUN|[ACT2]|[MEDIAL]|<SUBJUNC-IMP>
kitüremkedik,kitüremkedjék,1,kitüremkedik,/VERB|<SUBJUNC-IMP>
versenyeztet,versenyeztessék,1,versenyez,/VERB|[CAUS]|<SUBJUNC-IMP>
versenyezhet,versenyezhessen,6,versenyez,/VERB|<MODAL>|<SUBJUNC-IMP>
versenyezhet,versenyezhessék,1,versenyez,/VERB|<MODAL>|<SUBJUNC-IMP>
versenyez,versenyezzék,2,versenyez,/VERB|<SUBJUNC-IMP>
versenyez,versenyezzen,11,versenyez,/VERB|<SUBJUNC-IMP>
leforog,leforogjon,1,leforog,/VERB|<SUBJUNC-IMP>
megsemmisülhet,megsemmisülhessen,1,megsemmisül,/VERB|<MODAL>|<SUBJUNC-IMP>
megsemmisül,megsemmisüljön,11,megsemmisül,/VERB|<SUBJUNC-IMP>
utalványozhat,utalványozhasson,1,utalványoz,/VERB|<MODAL>|<SUBJUNC-IMP>
utalványoz,utalványozzon,7,utalványoz,/VERB|<SUBJUNC-IMP>
megmásul,megmásuljon,2,másul,/VERB|<PREVERB<MEG>>|<SUBJUNC-IMP>
másul,másuljon,1,másul,/VERB|<SUBJUNC-IMP>
pletykázhat,pletykázhassék,1,pletykázik,/VERB|<MODAL>|<SUBJUNC-IMP>
pletykázik,pletykázzon,1,pletykázik,/VERB|<SUBJUNC-IMP>
tömörít,tömörítsen,4,tömörít,/VERB|<SUBJUNC-IMP>
tömörít,tömörítsék,8,tömörít,/VERB|<SUBJUNC-IMP>
megsemmisítet,megsemmisítessék,1,megsemmisít,/VERB|[CAUS]|<SUBJUNC-IMP>
megsemmisíthet,megsemmisíthessék,7,megsemmisít,/VERB|<MODAL>|<SUBJUNC-IMP>
megsemmisít,megsemmisítsen,9,megsemmisít,/VERB|<SUBJUNC-IMP>
megsemmisít,megsemmisítsék,10,megsemmisít,/VERB|<SUBJUNC-IMP>
beárulhat,beárulhasson,1,árul,/VERB|<PREVERB<BE>>|<MODAL>|<SUBJUNC-IMP>
elárulhat,elárulhasson,4,árul,/VERB|<PREVERB<EL>>|<MODAL>|<SUBJUNC-IMP>
elárul,eláruljon,9,árul,/VERB|<PREVERB<EL>>|<SUBJUNC-IMP>
árultat,árultasson,1,árul,/VERB|[CAUS]|<SUBJUNC-IMP>
beárul,beáruljon,3,árul,/VERB|<PREVERB<BE>>|<SUBJUNC-IMP>
árultat,árultassék,3,árul,/VERB|[CAUS]|<SUBJUNC-IMP>
árulhat,árulhasson,9,árul,/VERB|<MODAL>|<SUBJUNC-IMP>
árul,áruljon,11,árul,/VERB|<SUBJUNC-IMP>
szüretel,szüreteljen,4,szüret,/NOUN|[ACT2]|<SUBJUNC-IMP>
szüretel,szüreteljék,1,szüret,/NOUN|[ACT2]|<SUBJUNC-IMP>
beakaszt,beakasszon,1,beakaszt,/VERB|<SUBJUNC-IMP>
eláztat,eláztasson,1,eláztat,/VERB|<SUBJUNC-IMP>
rábeszélhet,rábeszélhessen,1,rábeszél,/VERB|<MODAL>|<SUBJUNC-IMP>
rábeszélhet,rábeszélhessék,1,rábeszél,/VERB|<MODAL>|<SUBJUNC-IMP>
rábeszél,rábeszéljen,6,rábeszél,/VERB|<SUBJUNC-IMP>
rábeszél,rábeszéljék,9,rábeszél,/VERB|<SUBJUNC-IMP>
befedez,befedezzék,1,befedez,/VERB|<SUBJUNC-IMP>
elönt,elöntsön,7,elönt,/VERB|<SUBJUNC-IMP>
elönt,elöntsék,3,elönt,/VERB|<SUBJUNC-IMP>
felbuzog,felbuzogjon,3,buzog,/VERB|<PREVERB<FEL>>|<SUBJUNC-IMP>
buzog,buzogjon,7,buzog,/VERB|<SUBJUNC-IMP>
ásattat,ásattassék,3,ásat,/VERB|[CAUS]|<SUBJUNC-IMP>
ásattat,ásattasson,1,ásat,/VERB|[CAUS]|<SUBJUNC-IMP>
ásathat,ásathasson,1,ásat,/VERB|<MODAL>|<SUBJUNC-IMP>
ásat,ásasson,4,ásat,/VERB|<SUBJUNC-IMP>
