másol,másoltat,4,másol,/VERB|[CAUS]
építtet,építtettet,1,építtet,/VERB|[CAUS]
árnyal,árnyaltat,1,árny,/NOUN|[ACT2]|[CAUS]
versenyez,versenyeztet,4,versenyez,/VERB|[CAUS]
leforog,leforgat,1,leforog,/VERB|[CAUS]
megsemmisül,megsemmisültet,1,megsemmisül,/VERB|[CAUS]
megsemmisít,megsemmisítet,6,megsemmisít,/VERB|[CAUS]
árul,árultat,2,árul,/VERB|[CAUS]
rábeszél,rábeszéltet,1,rábeszél,/VERB|[CAUS]
buzog,buzogtat,3,buzog,/VERB|[CAUS]
ásat,ásattat,1,ásat,/VERB|[CAUS]
megszentel,megszenteltet,5,megszentel,/VERB|[CAUS]
összebékél,összebékéltet,2,béke,/NOUN|<PREVERB<ÖSSZE>>|[ACT2]|[CAUS]
kortyol,kortyoltat,1,korty,/NOUN|[ACT2]|[CAUS]
elenyészik,elenyésztet,4,elenyészik,/VERB|[CAUS]
meggyökerezik,meggyökereztet,2,meggyökerezik,/VERB|[CAUS]
kijelentkezik,kijelentkeztet,1,kijelentkezik,/VERB|[CAUS]
dörmög,dörmögtet,1,dörmög,/VERB|[CAUS]
megtörik,megtöret,4,megtörik,/VERB|[CAUS]
dörren,dörrentet,2,dörren,/VERB|[CAUS]
csatlakozik,csatlakoztat,3,csatlakozik,/VERB|[CAUS]
átad,átadat,3,átad,/VERB|[CAUS]
állomásozik,állomásoztat,5,állomásozik,/VERB|[CAUS]
teremtet,teremtettet,6,teremtet,/VERB|[CAUS]
fogyatkozik,fogyatkoztat,3,fogyatkozik,/VERB|[CAUS]
elhomályosul,elhomályosultat,1,homályosul,/VERB|<PREVERB<EL>>|[CAUS]
röpül,röpültet,1,röpül,/VERB|[CAUS]
dicsőít,dicsőíttet,1,dicsőít,/VERB|[CAUS]
megvilágosul,megvilágosultat,2,megvilágosul,/VERB|[CAUS]
elrejt,elrejtet,2,elrejt,/VERB|[CAUS]
összekeres,összekerestet,1,összekeres,/VERB|[CAUS]
megfogy,megfogyat,7,megfogy,/VERB|[CAUS]
szorít,szoríttat,2,szorít,/VERB|[CAUS]
megfojt,megfojtat,2,megfojt,/VERB|[CAUS]
keletkezik,keletkeztet,13,keletkezik,/VERB|[CAUS]
tűnik,tűnet,4,tűnik,/VERB|[CAUS]
poshad,poshadtat,1,poshad,/VERB|[CAUS]
rabol,raboltat,1,rabol,/VERB|[CAUS]
megfogy,megfogyat,7,fogy,/VERB|<PREVERB<MEG>>|[CAUS]
fogy,fogyat,13,fogy,/VERB|[CAUS]
fojt,fojtat,4,fojt,/VERB|[CAUS]
adódik,adódtat,1,ad,/VERB|[MEDIAL]|[CAUS]
ad,adat,19,ad,/VERB|[CAUS]
hizlal,hizlaltat,1,hizlal,/VERB|[CAUS]
foly,folyat,11,foly,/VERB|[CAUS]
megsebesül,megsebesültet,2,megsebesül,/VERB|[CAUS]
