átmásol,átmásolandó,4,másol,/VERB|<PREVERB<ÁT>>|[FUT_PART]
kimásol,kimásolandó,1,másol,/VERB|<PREVERB<KI>>|[FUT_PART]
másol,másolandó,8,másol,/VERB|[FUT_PART]
maximalizál,maximalizálandó,7,maximalizál,/VERB|[FUT_PART]
árnyal,árnyalandó,4,árny,/NOUN|[ACT2]|[FUT_PART]
megsemmisül,megsemmisülendő,2,megsemmisül,/VERB|[FUT_PART]
kiutalványoz,kiutalványozandó,1,utalványoz,/VERB|<PREVERB<KI>>|[FUT_PART]
utalványoz,utalványozandó,4,utalványoz,/VERB|[FUT_PART]
tömörít,tömörítendő,3,tömörít,/VERB|[FUT_PART]
megsemmisít,megsemmisítendő,11,megsemmisít,/VERB|[FUT_PART]
felszánt,felszántandó,7,felszánt,/VERB|[FUT_PART]
elárul,elárulandó,2,árul,/VERB|<PREVERB<EL>>|[FUT_PART]
árul,árulandó,2,árul,/VERB|[FUT_PART]
szüretel,szüretelendő,1,szüret,/NOUN|[ACT2]|[FUT_PART]
elönt,elöntendő,1,elönt,/VERB|[FUT_PART]
megszentel,megszentelendő,5,megszentel,/VERB|[FUT_PART]
verbuvál,verbuválandó,1,verbuvál,/VERB|[FUT_PART]
elenyészik,elenyészendő,4,elenyészik,/VERB|[FUT_PART]
lefilmez,lefilmezendő,1,filmez,/VERB|<PREVERB<LE>>|[FUT_PART]
megfilmesít,megfilmesítendő,1,filmes,/ADJ|<PREVERB<MEG>>|[TRANS_RESULT]|[FUT_PART]
benyújt,benyújtandó,14,benyújt,/VERB|[FUT_PART]
tudakol,tudakolandó,1,tudakol,/VERB|[FUT_PART]
hajózik,hajózandó,1,hajózik,/VERB|[FUT_PART]
megtörik,megtörendő,3,megtörik,/VERB|[FUT_PART]
beiratkozik,beiratkozandó,1,beiratkozik,/VERB|[FUT_PART]
letakarít,letakarítandó,2,letakarít,/VERB|[FUT_PART]
csatlakoztat,csatlakoztatandó,1,csatlakozik,/VERB|[CAUS]|[FUT_PART]
csatlakozik,csatlakozandó,7,csatlakozik,/VERB|[FUT_PART]
tagosít,tagosítandó,2,tagosít,/VERB|[FUT_PART]
átad,átadandó,13,átad,/VERB|[FUT_PART]
lerobbant,lerobbantandó,1,lerobbant,/VERB|[FUT_PART]
megpályáz,megpályázandó,1,megpályáz,/VERB|[FUT_PART]
megkoszorúz,megkoszorúzandó,1,megkoszorúz,/VERB|[FUT_PART]
meggyőződik,meggyőződendő,2,meggyőződik,/VERB|[FUT_PART]
kipusztít,kipusztítandó,1,kipusztít,/VERB|[FUT_PART]
besugároz,besugárzandó,1,besugároz,/VERB|[FUT_PART]
kiröpül,kiröpülendő,1,röpül,/VERB|<PREVERB<KI>>|[FUT_PART]
röpül,röpülendő,1,röpül,/VERB|[FUT_PART]
dicsőít,dicsőítendő,2,dicsőít,/VERB|[FUT_PART]
elköltöztet,elköltöztetendő,1,elköltöztet,/VERB|[FUT_PART]
adaptál,adaptálandó,4,adaptál,/VERB|[FUT_PART]
elrejt,elrejtendő,6,elrejt,/VERB|[FUT_PART]
átmásol,átmásolandó,4,átmásol,/VERB|[FUT_PART]
megdupláz,megduplázandó,1,dupla,/NOUN|<PREVERB<MEG>>|[ACT]|[FUT_PART]
agyonszorít,agyonszorítandó,1,szorít,/VERB|<PREVERB<AGYON>>|[FUT_PART]
rászorít,rászorítandó,1,szorít,/VERB|<PREVERB<RÁ>>|[FUT_PART]
leszorít,leszorítandó,2,szorít,/VERB|<PREVERB<LE>>|[FUT_PART]
szorít,szorítandó,9,szorít,/VERB|[FUT_PART]
megfojt,megfojtandó,1,megfojt,/VERB|[FUT_PART]
keletkezik,keletkezendő,8,keletkezik,/VERB|[FUT_PART]
kitűnik,kitűnendő,1,tűnik,/VERB|<PREVERB<KI>>|[FUT_PART]
feltűnik,feltűnendő,1,tűnik,/VERB|<PREVERB<FEL>>|[FUT_PART]
lepecsétel,lepecsételendő,3,lepecsétel,/VERB|[FUT_PART]
röpít,röpítendő,2,röpít,/VERB|[FUT_PART]
megszívlel,megszívlelendő,15,megszívlel,/VERB|[FUT_PART]
kirabol,kirablandó,1,rabol,/VERB|<PREVERB<KI>>|[FUT_PART]
elfogy,elfogyandó,2,fogy,/VERB|<PREVERB<EL>>|[FUT_PART]
fogy,fogyandó,3,fogy,/VERB|[FUT_PART]
bekebelez,bekebelezendő,3,kebelez,/VERB|<PREVERB<BE>>|[FUT_PART]
kebelez,kebelezendő,1,kebelez,/VERB|[FUT_PART]
megfojt,megfojtandó,1,fojt,/VERB|<PREVERB<MEG>>|[FUT_PART]
fojt,fojtandó,2,fojt,/VERB|[FUT_PART]
felköszönt,felköszöntendő,1,felköszönt,/VERB|[FUT_PART]
lekaszabol,lekaszabolandó,1,kaszabol,/VERB|<PREVERB<LE>>|[FUT_PART]
hőkezel,hőkezelendő,1,hőkezel,/VERB|[FUT_PART]
foltoz,foltozandó,1,folt,/NOUN|[ACT]|[FUT_PART]
