rokonít,rokonító,13,rokonít,/VERB|[IMPERF_PART]
megrezdül,megrezdülő,7,rezdül,/VERB|<PREVERB<MEG>>|[IMPERF_PART]
rezdül,rezdülő,11,rezdül,/VERB|[IMPERF_PART]
letekeredik,letekeredő,4,letekeredik,/VERB|[IMPERF_PART]
zenebonázik,zenebonázó,1,zenebonázik,/VERB|[IMPERF_PART]
lepattan,lepattanó,14,lepattan,/VERB|[IMPERF_PART]
odasereglik,odasereglő,9,odasereglik,/VERB|[IMPERF_PART]
bekiabál,bekiabáló,7,bekiabál,/VERB|[IMPERF_PART]
felpiroslik,felpirosló,6,felpiroslik,/VERB|[IMPERF_PART]
lemásoltat,lemásoltató,2,másol,/VERB|<PREVERB<LE>>|[CAUS]|[IMPERF_PART]
másolódik,másolódó,2,másol,/VERB|[MEDIAL]|[IMPERF_PART]
megmásol,megmásoló,1,másol,/VERB|<PREVERB<MEG>>|[IMPERF_PART]
másol,másoló,17,másol,/VERB|[IMPERF_PART]
maximalizál,maximalizáló,17,maximalizál,/VERB|[IMPERF_PART]
lefülel,lefülelő,1,lefülel,/VERB|[IMPERF_PART]
építtet,építtető,14,építtet,/VERB|[IMPERF_PART]
egybetömörül,egybetömörülő,1,tömörül,/VERB|<PREVERB<EGYBE>>|[IMPERF_PART]
összetömörül,összetömörülő,3,tömörül,/VERB|<PREVERB<ÖSSZE>>|[IMPERF_PART]
tömörül,tömörülő,10,tömörül,/VERB|[IMPERF_PART]
búsmagyarkodik,búsmagyarkodó,2,búsmagyarkodik,/VERB|[IMPERF_PART]
áriázik,áriázó,1,ária,/NOUN|[ACT]|[IMPERF_PART]
rektifikál,rektifikáló,2,rektifikál,/VERB|[IMPERF_PART]
kosárlabdázik,kosárlabdázó,6,kosárlabdázik,/VERB|[IMPERF_PART]
kosztol,kosztoló,9,koszt,/NOUN|[ACT2]|[IMPERF_PART]
cérnáz,cérnázó,2,cérnáz,/VERB|[IMPERF_PART]
árkol,árkoló,3,árok,/NOUN|[ACT2]|[IMPERF_PART]
árnyalódik,árnyalódó,3,árny,/NOUN|[ACT2]|[MEDIAL]|[IMPERF_PART]
beárnyal,beárnyaló,1,árny,/NOUN|<PREVERB<BE>>|[ACT2]|[IMPERF_PART]
beárnyaz,beárnyazó,1,árny,/NOUN|<PREVERB<BE>>|[ACT]|[IMPERF_PART]
felködlik,felködlő,7,felködlik,/VERB|[IMPERF_PART]
ujjongtat,ujjongtató,1,ujjongtat,/VERB|[IMPERF_PART]
elkártyáz,elkártyázó,1,elkártyáz,/VERB|[IMPERF_PART]
kitüremkedik,kitüremkedő,16,kitüremkedik,/VERB|[IMPERF_PART]
versenyez,versenyző,14,versenyez,/VERB|[IMPERF_PART]
leforog,leforgó,2,leforog,/VERB|[IMPERF_PART]
megsemmisül,megsemmisülő,12,megsemmisül,/VERB|[IMPERF_PART]
utalványoz,utalványozó,14,utalványoz,/VERB|[IMPERF_PART]
másul,másuló,4,másul,/VERB|[IMPERF_PART]
pletykázik,pletykázó,10,pletykázik,/VERB|[IMPERF_PART]
kitömörít,kitömörítő,2,tömörít,/VERB|<PREVERB<KI>>|[IMPERF_PART]
tömörít,tömörítő,38,tömörít,/VERB|[IMPERF_PART]
megsemmisít,megsemmisítő,16,megsemmisít,/VERB|[IMPERF_PART]
küllőz,küllőző,3,küllő,/NOUN|[ACT]|[IMPERF_PART]
tilol,tiloló,10,tilol,/VERB|[IMPERF_PART]
felszánt,felszántó,7,felszánt,/VERB|[IMPERF_PART]
szétárul,szétáruló,1,árul,/VERB|<PREVERB<SZÉT>>|[IMPERF_PART]
kiárul,kiáruló,1,árul,/VERB|<PREVERB<KI>>|[IMPERF_PART]
árul,áruló,18,árul,/VERB|[IMPERF_PART]
árvál,árváló,1,árva,/NOUN|[ACT2]|[IMPERF_PART]
beakaszt,beakasztó,4,beakaszt,/VERB|[IMPERF_PART]
eláztat,eláztató,5,eláztat,/VERB|[IMPERF_PART]
rábeszél,rábeszélő,10,rábeszél,/VERB|[IMPERF_PART]
befedez,befedező,1,befedez,/VERB|[IMPERF_PART]
elönt,elöntő,10,elönt,/VERB|[IMPERF_PART]
áttűnik,áttűnő,9,áttűnik,/VERB|[IMPERF_PART]
kibuzog,kibuzgó,4,buzog,/VERB|<PREVERB<KI>>|[IMPERF_PART]
fölbuzog,fölbuzgó,6,buzog,/VERB|<PREVERB<FÖL>>|[IMPERF_PART]
előbuzog,előbuzgó,1,buzog,/VERB|<PREVERB<ELŐ>>|[IMPERF_PART]
