keresztvíz,keresztvizetlen,1,keresztvíz,/NOUN|[NEG_ATTRIB]
árok,ároktalan,1,árok,/NOUN|[NEG_ATTRIB]
árny,árnyatlan,6,árny,/NOUN|[NEG_ATTRIB]
küllő,küllőtlen,2,küllő,/NOUN|[NEG_ATTRIB]
terítő,terítőtlen,1,terítő,/NOUN|[NEG_ATTRIB]
ébredés,ébredéstelen,1,ébredés,/NOUN|[NEG_ATTRIB]
házasság,házasságtalan,3,házasság,/NOUN|[NEG_ATTRIB]
trópus,trópustalan,1,trópus,/NOUN|[NEG_ATTRIB]
béke,békétlen,11,béke,/NOUN|[NEG_ATTRIB]
márka,márkátlan,6,márka,/NOUN|[NEG_ATTRIB]
palló,pallótlan,1,palló,/NOUN|[NEG_ATTRIB]
cselekvés,cselekvéstelen,2,cselekvés,/NOUN|[NEG_ATTRIB]
korpa,korpátlan,4,korpa,/NOUN|[NEG_ATTRIB]
korom,koromtalan,2,korom,/NOUN|[NEG_ATTRIB]
személyrag,személyragtalan,3,személyrag,/NOUN|[NEG_ATTRIB]
fillér,fillértelen,2,fillér,/NOUN|[NEG_ATTRIB]
remény,reménytelen,13,remény,/NOUN|[NEG_ATTRIB]
tinta,tintátlan,1,tinta,/NOUN|[NEG_ATTRIB]
tökély,tökélytelen,20,tökély,/NOUN|[NEG_ATTRIB]
cirkalom,cirkalmatlan,1,cirkalom,/NOUN|[NEG_ATTRIB]
folt,folttalan,13,folt,/NOUN|[NEG_ATTRIB]
al,altalan,3,al,/NOUN|[NEG_ATTRIB]
as,astalan,2,as,/NOUN|[NEG_ATTRIB]
viasz,viasztalan,2,viasz,/NOUN|[NEG_ATTRIB]
fa,fátlan,12,fa,/NOUN|[NEG_ATTRIB]
bá,bátlan,4,bá,/NOUN|[NEG_ATTRIB]
bú,bútlan,3,bú,/NOUN|[NEG_ATTRIB]
bő,bőtlen,1,bő,/NOUN|[NEG_ATTRIB]
la,latlan,12,la,/NOUN|[NEG_ATTRIB]
hó,hótlan,1,hó,/NOUN|[NEG_ATTRIB]
hó,havatlan,4,hó,/NOUN|[NEG_ATTRIB]
ma,mátlan,2,ma,/NOUN|[NEG_ATTRIB]
fő,főtlen,7,fő,/NOUN|[NEG_ATTRIB]
fű,fűtlen,1,fű,/NOUN|[NEG_ATTRIB]
fű,füvetlen,7,fű,/NOUN|[NEG_ATTRIB]
okszerű,okszerűtlen,6,ok,/NOUN|[TYPE1]|[NEG_ATTRIB]
ok,oktalan,18,ok,/NOUN|[NEG_ATTRIB]
hő,hevetlen,1,hő,/NOUN|[NEG_ATTRIB]
hő,hőtlen,15,hő,/NOUN|[NEG_ATTRIB]
lé,létlen,10,lé,/NOUN|[NEG_ATTRIB]
lé,lévetlen,2,lé,/NOUN|[NEG_ATTRIB]
re,rétlen,1,re,/NOUN|[NEG_ATTRIB]
kő,kőtlen,1,kő,/NOUN|[NEG_ATTRIB]
kő,követlen,9,kő,/NOUN|[NEG_ATTRIB]
nő,nőtlen,17,nő,/NOUN|[NEG_ATTRIB]
mű,műtlen,1,mű,/NOUN|[NEG_ATTRIB]
só,savatlan,2,só,/NOUN|[NEG_ATTRIB]
só,sótlan,34,só,/NOUN|[NEG_ATTRIB]
módszer,módszertelen,9,módszer,/NOUN|[NEG_ATTRIB]
tő,tőtlen,1,tő,/NOUN|[NEG_ATTRIB]
növény,növénytelen,9,növény,/NOUN|[NEG_ATTRIB]
szemérem,szeméremtelen,2,szemérem,/NOUN|[NEG_ATTRIB]
biblia,bibliátlan,1,biblia,/NOUN|[NEG_ATTRIB]
típus,típustalan,2,típus,/NOUN|[NEG_ATTRIB]
bíra,bírátlan,1,bíra,/NOUN|[NEG_ATTRIB]
társ,társatlan,2,társ,/NOUN|[NEG_ATTRIB]
keresztyén,keresztyéntelen,3,keresztyén,/NOUN|[NEG_ATTRIB]
olaj,olajtalan,2,olaj,/NOUN|[NEG_ATTRIB]
padlás,padlástalan,3,padlás,/NOUN|[NEG_ATTRIB]
reflektor,reflektortalan,1,reflektor,/NOUN|[NEG_ATTRIB]
olló,ollótlan,9,olló,/NOUN|[NEG_ATTRIB]
meggyőződés,meggyőződéstelen,4,meggyőződés,/NOUN|[NEG_ATTRIB]
fullánk,fullánktalan,5,fullánk,/NOUN|[NEG_ATTRIB]
pikkely,pikkelytelen,5,pikkely,/NOUN|[NEG_ATTRIB]
ólom,ólomtalan,1,ólom,/NOUN|[NEG_ATTRIB]
tömeg,tömegtelen,2,tömeg,/NOUN|[NEG_ATTRIB]
sellő,sellőtlen,1,sellő,/NOUN|[NEG_ATTRIB]
ág,ágatlan,10,ág,/NOUN|[NEG_ATTRIB]
ár,áratlan,6,ár,/NOUN|[NEG_ATTRIB]
megfelelő,megfelelőtlen,4,megfelelő,/NOUN|[NEG_ATTRIB]
kényszerű,kényszerűtlen,1,kény,/NOUN|[TYPE1]|[NEG_ATTRIB]
kény,kénytelen,37,kény,/NOUN|[NEG_ATTRIB]
pecsét,pecséttelen,1,pecsét,/NOUN|[NEG_ATTRIB]
ég,egetlen,16,ég,/NOUN|[NEG_ATTRIB]
ég,égtelen,9,ég,/NOUN|[NEG_ATTRIB]
éh,éhtelen,3,éh,/NOUN|[NEG_ATTRIB]
ék,éketlen,3,ék,/NOUN|[NEG_ATTRIB]
ék,éktelen,22,ék,/NOUN|[NEG_ATTRIB]
él,életlen,11,él,/NOUN|[NEG_ATTRIB]
él,éltelen,2,él,/NOUN|[NEG_ATTRIB]
én,éntelen,6,én,/NOUN|[NEG_ATTRIB]
fantázia,fantáziátlan,10,fantázia,/NOUN|[NEG_ATTRIB]
ér,eretlen,10,ér,/NOUN|[NEG_ATTRIB]
ér,értelen,2,ér,/NOUN|[NEG_ATTRIB]
év,évetlen,2,év,/NOUN|[NEG_ATTRIB]
kész,késztelen,1,kész,/NOUN|[NEG_ATTRIB]
ín,inatlan,6,ín,/NOUN|[NEG_ATTRIB]
íz,ízetlen,20,íz,/NOUN|[NEG_ATTRIB]
íz,íztelen,11,íz,/NOUN|[NEG_ATTRIB]
kéve,kévétlen,1,kéve,/NOUN|[NEG_ATTRIB]
história,históriátlan,5,história,/NOUN|[NEG_ATTRIB]
dörgés,dörgéstelen,3,dörgés,/NOUN|[NEG_ATTRIB]
öv,övetlen,6,öv,/NOUN|[NEG_ATTRIB]
pillanat,pillanattalan,1,pillanat,/NOUN|[NEG_ATTRIB]
új,újatlan,1,új,/NOUN|[NEG_ATTRIB]
úr,uratlan,12,úr,/NOUN|[NEG_ATTRIB]
út,úttalan,15,út,/NOUN|[NEG_ATTRIB]
út,utatlan,3,út,/NOUN|[NEG_ATTRIB]
rizspor,rizsportalan,2,rizspor,/NOUN|[NEG_ATTRIB]
gyors,gyorstalan,1,gyors,/NOUN|[NEG_ATTRIB]
ormó,ormótlan,13,ormó,/NOUN|[NEG_ATTRIB]
ülep,üleptelen,1,ülep,/NOUN|[NEG_ATTRIB]
téma,témátlan,6,téma,/NOUN|[NEG_ATTRIB]
bögy,bögytelen,1,bögy,/NOUN|[NEG_ATTRIB]
hazafiság,hazafiságtalan,2,hazafiság,/NOUN|[NEG_ATTRIB]
böjt,böjttelen,1,böjt,/NOUN|[NEG_ATTRIB]
balítélet,balítélettelen,1,balítélet,/NOUN|[NEG_ATTRIB]
tekervény,tekervénytelen,1,tekervény,/NOUN|[NEG_ATTRIB]
differenciál,differenciáltalan,4,differenciál,/NOUN|[NEG_ATTRIB]
pelyva,pelyvátlan,1,pelyva,/NOUN|[NEG_ATTRIB]
zongora,zongorátlan,1,zongora,/NOUN|[NEG_ATTRIB]
kopács,kopácstalan,1,kopács,/NOUN|[NEG_ATTRIB]
ártás,ártástalan,1,ártás,/NOUN|[NEG_ATTRIB]
birtokrag,birtokragtalan,1,birtokrag,/NOUN|[NEG_ATTRIB]
cibak,cibaktalan,1,cibak,/NOUN|[NEG_ATTRIB]
füstszűrő,füstszűrőtlen,2,füstszűrő,/NOUN|[NEG_ATTRIB]
gané,ganétlan,1,gané,/NOUN|[NEG_ATTRIB]
ütem,ütemtelen,5,ütem,/NOUN|[NEG_ATTRIB]
dobhártya,dobhártyátlan,1,dobhártya,/NOUN|[NEG_ATTRIB]
szárny,szárnyatlan,14,szárny,/NOUN|[NEG_ATTRIB]
szólam,szólamtalan,2,szólam,/NOUN|[NEG_ATTRIB]
grammatika,grammatikátlan,2,grammatika,/NOUN|[NEG_ATTRIB]
poggyász,poggyásztalan,1,poggyász,/NOUN|[NEG_ATTRIB]
gépész,gépésztelen,1,gépész,/NOUN|[NEG_ATTRIB]
szemfedő,szemfedőtlen,1,szemfedő,/NOUN|[NEG_ATTRIB]
zúgolódás,zúgolódástalan,1,zúgolódás,/NOUN|[NEG_ATTRIB]
tóga,tógátlan,1,tóga,/NOUN|[NEG_ATTRIB]
kedvelő,kedvelőtlen,1,kedvelő,/NOUN|[NEG_ATTRIB]
töprengés,töprengéstelen,1,töprengés,/NOUN|[NEG_ATTRIB]
osztódás,osztódástalan,1,osztódás,/NOUN|[NEG_ATTRIB]
gesz,gesztelen,1,gesz,/NOUN|[NEG_ATTRIB]
szívügy,szívügyetlen,1,szívügy,/NOUN|[NEG_ATTRIB]
komfort,komforttalan,1,komfort,/NOUN|[NEG_ATTRIB]
paca,pacátlan,1,paca,/NOUN|[NEG_ATTRIB]
elégség,elégségtelen,1,elégség,/NOUN|[NEG_ATTRIB]
állvány,állványtalan,1,állvány,/NOUN|[NEG_ATTRIB]
pata,patátlan,1,pata,/NOUN|[NEG_ATTRIB]
tört,törtetlen,1,tört,/NOUN|[NEG_ATTRIB]
szükségszerű,szükségszerűtlen,3,szükségszerű,/NOUN|[NEG_ATTRIB]
tányér,tányértalan,1,tányér,/NOUN|[NEG_ATTRIB]
humor,humortalan,12,humor,/NOUN|[NEG_ATTRIB]
büntetés,büntetéstelen,1,büntetés,/NOUN|[NEG_ATTRIB]
szimbólum,szimbólumtalan,1,szimbólum,/NOUN|[NEG_ATTRIB]
tanya,tanyátlan,3,tanya,/NOUN|[NEG_ATTRIB]
szokás,szokástalan,1,szokás,/NOUN|[NEG_ATTRIB]
gallér,gallértalan,9,gallér,/NOUN|[NEG_ATTRIB]
hurok,huroktalan,1,hurok,/NOUN|[NEG_ATTRIB]
szünet,szünettelen,11,szünet,/NOUN|[NEG_ATTRIB]
láng,lángtalan,4,láng,/NOUN|[NEG_ATTRIB]
lánc,lánctalan,2,lánc,/NOUN|[NEG_ATTRIB]
szótag,szótagtalan,1,szótag,/NOUN|[NEG_ATTRIB]
templom,templomtalan,5,templom,/NOUN|[NEG_ATTRIB]
túró,túrótlan,1,túró,/NOUN|[NEG_ATTRIB]
naptár,naptártalan,1,naptár,/NOUN|[NEG_ATTRIB]
vászon,vászontalan,1,vászon,/NOUN|[NEG_ATTRIB]
angyal,angyaltalan,1,angyal,/NOUN|[NEG_ATTRIB]
tüdő,tüdőtlen,2,tüdő,/NOUN|[NEG_ATTRIB]
konvenció,konvenciótlan,1,konvenció,/NOUN|[NEG_ATTRIB]
címke,címkétlen,3,címke,/NOUN|[NEG_ATTRIB]
címer,címertelen,4,címer,/NOUN|[NEG_ATTRIB]
aljnövényzet,aljnövényzettelen,1,aljnövényzet,/NOUN|[NEG_ATTRIB]
időegység,időegységtelen,2,időegység,/NOUN|[NEG_ATTRIB]
hajlék,hajléktalan,16,hajlék,/NOUN|[NEG_ATTRIB]
önbizalom,önbizalmatlan,2,önbizalom,/NOUN|[NEG_ATTRIB]
piac,piactalan,11,piac,/NOUN|[NEG_ATTRIB]
gomb,gombtalan,3,gomb,/NOUN|[NEG_ATTRIB]
gátlás,gátlástalan,13,gátlás,/NOUN|[NEG_ATTRIB]
vajda,vajdátlan,2,vajda,/NOUN|[NEG_ATTRIB]
taréj,taréjtalan,2,taréj,/NOUN|[NEG_ATTRIB]
pipa,pipátlan,1,pipa,/NOUN|[NEG_ATTRIB]
korlát,korláttalan,13,korlát,/NOUN|[NEG_ATTRIB]
harang,harangtalan,2,harang,/NOUN|[NEG_ATTRIB]
hártya,hártyátlan,3,hártya,/NOUN|[NEG_ATTRIB]
gyámol,gyámoltalan,29,gyámol,/NOUN|[NEG_ATTRIB]
felelő,felelőtlen,14,felelő,/NOUN|[NEG_ATTRIB]
kontextus,kontextustalan,1,kontextus,/NOUN|[NEG_ATTRIB]
zománc,zománctalan,4,zománc,/NOUN|[NEG_ATTRIB]
birtok,birtoktalan,12,birtok,/NOUN|[NEG_ATTRIB]
ihlet,ihlettelen,3,ihlet,/NOUN|[NEG_ATTRIB]
élmény,élménytelen,2,élmény,/NOUN|[NEG_ATTRIB]
politika,politikátlan,6,politika,/NOUN|[NEG_ATTRIB]
fiatalság,fiatalságtalan,1,fiatalság,/NOUN|[NEG_ATTRIB]
fűszer,fűszertelen,6,fűszer,/NOUN|[NEG_ATTRIB]
művészet,művészettelen,2,művészet,/NOUN|[NEG_ATTRIB]
hőség,hőségtelen,1,hőség,/NOUN|[NEG_ATTRIB]
lény,lénytelen,2,lény,/NOUN|[NEG_ATTRIB]
savhiány,savhiánytalan,1,savhiány,/NOUN|[NEG_ATTRIB]
fáradalom,fáradalmatlan,1,fáradalom,/NOUN|[NEG_ATTRIB]
feltámadás,feltámadástalan,1,feltámadás,/NOUN|[NEG_ATTRIB]
úszóhártya,úszóhártyátlan,11,úszóhártya,/NOUN|[NEG_ATTRIB]
numerus,numerustalan,2,numerus,/NOUN|[NEG_ATTRIB]
varrás,varrástalan,2,varrás,/NOUN|[NEG_ATTRIB]
pofa,pofátlan,11,pofa,/NOUN|[NEG_ATTRIB]
gumi,gumitlan,1,gumi,/NOUN|[NEG_ATTRIB]
csillám,csillámtalan,1,csillám,/NOUN|[NEG_ATTRIB]
csillár,csillártalan,1,csillár,/NOUN|[NEG_ATTRIB]
regula,regulátlan,4,regula,/NOUN|[NEG_ATTRIB]
bélés,béléstelen,2,bélés,/NOUN|[NEG_ATTRIB]
líra,lírátlan,3,líra,/NOUN|[NEG_ATTRIB]
érzékenység,érzékenységtelen,4,érzékenység,/NOUN|[NEG_ATTRIB]
humor,humortalan,12,humor,/NOUN|[NEG_ATTRIB]
büntetés,büntetéstelen,1,büntetés,/NOUN|[NEG_ATTRIB]
szimbólum,szimbólumtalan,1,szimbólum,/NOUN|[NEG_ATTRIB]
tanya,tanyátlan,3,tanya,/NOUN|[NEG_ATTRIB]
szokás,szokástalan,1,szokás,/NOUN|[NEG_ATTRIB]
gallér,gallértalan,9,gallér,/NOUN|[NEG_ATTRIB]
hurok,huroktalan,1,hurok,/NOUN|[NEG_ATTRIB]
szünet,szünettelen,11,szünet,/NOUN|[NEG_ATTRIB]
láng,lángtalan,4,láng,/NOUN|[NEG_ATTRIB]
lánc,lánctalan,2,lánc,/NOUN|[NEG_ATTRIB]
perc,perctelen,4,perc,/NOUN|[NEG_ATTRIB]
szótag,szótagtalan,1,szótag,/NOUN|[NEG_ATTRIB]
templom,templomtalan,5,templom,/NOUN|[NEG_ATTRIB]
túró,túrótlan,1,túró,/NOUN|[NEG_ATTRIB]
naptár,naptártalan,1,naptár,/NOUN|[NEG_ATTRIB]
vászon,vászontalan,1,vászon,/NOUN|[NEG_ATTRIB]
hajnal,hajnaltalan,3,hajnal,/NOUN|[NEG_ATTRIB]
angyal,angyaltalan,1,angyal,/NOUN|[NEG_ATTRIB]
tüdő,tüdőtlen,2,tüdő,/NOUN|[NEG_ATTRIB]
konvenció,konvenciótlan,1,konvenció,/NOUN|[NEG_ATTRIB]
címke,címkétlen,3,címke,/NOUN|[NEG_ATTRIB]
címer,címertelen,4,címer,/NOUN|[NEG_ATTRIB]
aljnövényzet,aljnövényzettelen,1,aljnövényzet,/NOUN|[NEG_ATTRIB]
időegység,időegységtelen,2,időegység,/NOUN|[NEG_ATTRIB]
hajlék,hajléktalan,16,hajlék,/NOUN|[NEG_ATTRIB]
lelkész,lelkésztelen,1,lelkész,/NOUN|[NEG_ATTRIB]
önbizalom,önbizalmatlan,2,önbizalom,/NOUN|[NEG_ATTRIB]
piac,piactalan,11,piac,/NOUN|[NEG_ATTRIB]
tartó,tartótlan,1,tartó,/NOUN|[NEG_ATTRIB]
gomb,gombtalan,3,gomb,/NOUN|[NEG_ATTRIB]
gond,gondtalan,14,gond,/NOUN|[NEG_ATTRIB]
gátlás,gátlástalan,13,gátlás,/NOUN|[NEG_ATTRIB]
korona,koronátlan,13,korona,/NOUN|[NEG_ATTRIB]
vajda,vajdátlan,2,vajda,/NOUN|[NEG_ATTRIB]
taréj,taréjtalan,2,taréj,/NOUN|[NEG_ATTRIB]
pipa,pipátlan,1,pipa,/NOUN|[NEG_ATTRIB]
korlát,korláttalan,13,korlát,/NOUN|[NEG_ATTRIB]
harang,harangtalan,2,harang,/NOUN|[NEG_ATTRIB]
hártya,hártyátlan,3,hártya,/NOUN|[NEG_ATTRIB]
gyámol,gyámoltalan,29,gyámol,/NOUN|[NEG_ATTRIB]
felelő,felelőtlen,14,felelő,/NOUN|[NEG_ATTRIB]
kontextus,kontextustalan,1,kontextus,/NOUN|[NEG_ATTRIB]
zománc,zománctalan,4,zománc,/NOUN|[NEG_ATTRIB]
birtok,birtoktalan,12,birtok,/NOUN|[NEG_ATTRIB]
ihlet,ihlettelen,3,ihlet,/NOUN|[NEG_ATTRIB]
örökös,örököstelen,1,örökös,/NOUN|[NEG_ATTRIB]
élmény,élménytelen,2,élmény,/NOUN|[NEG_ATTRIB]
politika,politikátlan,6,politika,/NOUN|[NEG_ATTRIB]
bizalom,bizalmatlan,35,bizalom,/NOUN|[NEG_ATTRIB]
fiatalság,fiatalságtalan,1,fiatalság,/NOUN|[NEG_ATTRIB]
fűszer,fűszertelen,6,fűszer,/NOUN|[NEG_ATTRIB]
művészet,művészettelen,2,művészet,/NOUN|[NEG_ATTRIB]
légy,legyetlen,1,légy,/NOUN|[NEG_ATTRIB]
légy,légytelen,2,légy,/NOUN|[NEG_ATTRIB]
hőség,hőségtelen,1,hőség,/NOUN|[NEG_ATTRIB]
sodor,sodortalan,1,sodor,/NOUN|[NEG_ATTRIB]
lény,lénytelen,2,lény,/NOUN|[NEG_ATTRIB]
savhiány,savhiánytalan,1,savhiány,/NOUN|[NEG_ATTRIB]
fáradalom,fáradalmatlan,1,fáradalom,/NOUN|[NEG_ATTRIB]
feltámadás,feltámadástalan,1,feltámadás,/NOUN|[NEG_ATTRIB]
úszóhártya,úszóhártyátlan,11,úszóhártya,/NOUN|[NEG_ATTRIB]
numerus,numerustalan,2,numerus,/NOUN|[NEG_ATTRIB]
varrás,varrástalan,2,varrás,/NOUN|[NEG_ATTRIB]
pofa,pofátlan,11,pofa,/NOUN|[NEG_ATTRIB]
gumi,gumitlan,1,gumi,/NOUN|[NEG_ATTRIB]
csillám,csillámtalan,1,csillám,/NOUN|[NEG_ATTRIB]
